v1	medcodeid	cleansedreadcode	observations	term	snomedctconceptid	Typei	Typeii	unknowntype
287	457874019	"44AB.00"	30000	"Serum insulin-like growth factor 1 level"	997351000000107	1	0	0
325	458209015	"44A7.00"	3000	"Plasma IGF 1 (insulin-like growth factor 1) level"	997311000000108	1	0	0
1298	1979721000006110	" "	1	"Liverpool diabetes pilot - support option 1"	1979721000006106	1	0	0
1092	2338051000000112	"38QX.00"	30	"Diabetes Distress Scale 17 item score"	910931000000101	1	0	0
1336	5311791000006111	" "	4	"Insulin/thyrotropin releasing hormone/luteinizing hormone releasing hormone test"	252185008	1	0	0
175	2773644011	"1252000"	100000	"Family history of diabetes mellitus type 1"	430678008	1	0	0
653	7098211000006116	" "	200	"Dietary education for type 1 diabetes mellitus"	429094000	1	0	0
1512	7500501000006118	" "	2	"Diabetes mellitus, transient neonatal 1"	609579009	1	0	0
725	1979281000006117	" "	2000	"NHS diabetes prevention programme telephone invitation"	1979281000006101	1	0	0
1472	2590451000006116	" "	1	"IGF 1 - Insulin like growth factor 1"	5699003	1	0	0
392	794681000006118	"66A7100"	20000	"Frequency of general practitioner treated hypoglycaemia attack"	712658007	1	0	0
