	MedCodeId	Observations	CleansedReadCode	Term	SnomedCTConceptId
62839	11211000006110	30	7A10y00	Other specified extraanatomic bypass of aorta	175275009
27900	300970017	30	Gyu7A00	[X]Peripheral angiopathy in diseases classified elsewhere	400047006
47023	410986018	30	7A4B.13	Transluminal procedure on femoral artery	275063008
164637	5058121000006110	30	 	Critical lower limb ischemia	233962007
16961	271487010	30	7A17.00	Attention to prosthesis of aorta	175330009
23326	288265016	30	AyuG700	[X]Cysticercosis of other sites	59051007
16947	271430018	30	7A11z00	Replacement of aneurysmal bifurcation of aorta NOS	175282008
75785	359211000000113	30	7A1B400	Endovascular stenting of aortic bifurcation NEC	307701005
63172	17351000006113	30	7A46z00	Other replacement of aneurysmal femoral/popliteal artery NOS	405516005
205042	13919651000006113	30	 	Ulcer of heel due to atherosclerosis of artery of lower limb	792846001
63764	31351000006112	30	7A47z00	Other emergency bypass of femoral or popliteal artery NOS	116360008
17145	272018015	30	7A49700	Profundoplasty of popliteal artery NEC	405376002
87778	639651000006110	20	7A11200	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery	265492000
63173	17361000006110	20	7A46y00	Other replacement of aneurysmal femoral/popliteal artery OS	405516005
84668	530731000006114	20	7A16100	Bypass of thoracic aorta by anastomosis aorta to aorta NEC	116360008
27899	300969018	20	Gyu7900	[X]Aortitis in diseases classified elsewhere	70933002
9747	254794011	20	27A1.00	On examination - vaginal examination - presenting part high	163574008
87772	639581000006118	20	7A47100	Emerg bypass popliteal art by pop/pop art anast c prosth NEC	233384002
16983	271522017	20	7A1A400	Transoesophageal aortography	175357006
16985	271524016	20	7A1Az00	Transluminal operation on aorta NOS	265499009
42079	349652010	20	7A42.11	Reconstruction of common iliac artery	233345007
42094	349668016	20	7A47.15	Other emergency bypass of superficial femoral artery	116360008
87800	639881000006115	20	7A45D00	Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to femoral artery	175633001
88283	659511000006112	20	7A10z00	Extraanatomic bypass of aorta NOS	175275009
2106	61979019	20	G73y811	Erythralgia	37151006
17131	271880019	20	7A42y00	Other specified reconstruction of iliac artery	265516003
87773	639591000006115	20	7A47500	Emerg bypass popliteal art by pop/tib art anast c prosth NEC	233384002
87770	639551000006114	20	7A47300	Emerg bypass pop art by pop/pop art anast c vein graft NEC	233384002
63765	31361000006114	20	7A47y00	Other emergency bypass of femoral or popliteal artery OS	405516005
115603	1587811000006118	20	7A1Cz00	Translum ins stent graft for aneurysmal segment of aorta NOS	233404000
99455	913931000006116	20	C10EG00	Type 1 diabetes mellitus with peripheral angiopathy	31211000119101
83473	489951000000119	20	7A1A800	Transluminal aortic stent graft with fenestration NEC	233404000
16971	271503014	20	7A18400	Revision of plastic repair of aorta	175342004
17170	272074011	20	7A50.00	Revision of reconstruction of artery	175729002
17171	272075012	20	7A50000	Revision of reconstruction involving aorta	175730007
70300	238621000006112	20	7A4B800	Percutaneous transluminal thrombolysis of femoral graft using streptokinase	309449009
70128	232881000006113	20	7A1A200	Percutaneous transluminal embolectomy of bifurcation of aorta	175356002
84671	530801000006114	20	7A48900	Bypass popliteal artery by pop/peron art anast c prosth NEC	233384002
68507	197301000006117	20	A3BXE00	Proteus(mirabilis)(morganii)cause/dis classfd/oth chapter	312105006
67863	173711000006118	20	7A11y00	Replacement of aneurysmal bifurcation of aorta OS	175282008
17175	272079018	20	7A50y00	Other specified revision of reconstruction of artery	175729002
67840	173461000006110	20	7A11100	Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery	175284009
16963	271489013	20	7A17100	Revision of prosthesis of bifurcation of aorta	175332001
95122	865901000006117	20	7A1A399	Thoracic angiography	54640009
95141	866101000006112	20	7A44299	Pelvic organ angiography	265523002
65086	84961000006116	20	C109F11	Type II diabetes mellitus with peripheral angiopathy	314902007
95143	866121000006119	20	7A4B697	Retrograde femoral arteriogram	265531007
84667	530711000006115	20	7A16200	Bypass of suprarenal aorta by anastomosis aorta to aorta NEC	116360008
16959	271485019	20	7A16y00	Other specified other bypass of segment of aorta	116360008
95145	866141000006114	20	7A4B699	L-direct femoral arteriogram	265531007
195638	7848701000006116	10	 	Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus	723870003
17127	271843013	10	7A40z00	Replacement of aneurysmal iliac artery NOS	116360008
130931	1924781000006114	10	67A1200	Provision of information about extensively hydrolysed infant formula	924431000000105
91223	745391000000111	10	7A1AB00	Transluminal aortic branched stent graft NEC	233404000
188163	6633851000006110	10	 	PVD-peripheral vascular disease	400047006
199468	8278561000006114	10	 	Ischaemic lower limb pain at rest	836711000000108
199732	8298671000006110	10	 	Peripheral vascular disease monitoring telephone invitation	863181000000104
114129	1548141000006116	10	7A1A700	Percutaneous transluminal aortic stent graft branches NEC	233404000
95121	865891000006116	10	7A1A398	Thoracic aortography	54640009
16966	271492012	10	7A17y00	Other specified attention to prosthesis of aorta	175330009
42101	349677011	10	7A41.11	Other bypass of iliac artery by anastomosis	405477007

34796	317354016	10	R055300	[D]Gram-negative shock	371769008
47008	410970013	10	7A46.12	Other replacement of aneurysmal common femoral artery	405463009
87788	639771000006110	10	7A45C00	Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to femoral artery	175632006
87751	639381000006114	10	7A12200	Emergency bypass of bifurcation of aorta by anastomosis of aorta to iliac artery	175292000
17134	271895017	10	7A43y00	Other specified other open operation on iliac artery	265511008
42097	349671012	10	7A47.12	Other emergency bypass of common femoral artery	116360008
84663	530511000006110	10	7A16300	Bypass of infrarenal aorta by anastomosis aorta to aorta NEC	116360008
17159	272041011	10	7A4A700	Repair of femoral artery with temporary silastic shunt	175710008
17165	272061017	10	7A4B500	Percutaneous transluminal embolisation of popliteal artery	175720003
80111	404601000006117	10	Gyu7B00	[X]Oth disorders/arteries,arterioles+capillaries/diseases CE	266259002
77752	378261000006113	10	U10G700	[X]Diving or jumping into water causing injury other than drowning or submersion, occurrence on farm	424571000000106
67861	173671000006117	10	7A40300	Replace aneurysmal iliac artery by fem/fem artery anast NEC	265512001
67837	173431000006118	10	7A14200	Replace aneurys suprarenal aorta by anast aorta to aorta NEC	116360008
27687	300502019	10	G731100	Presenile gangrene	195299000
87811	640131000006119	10	7A45z00	Emergency replacement aneurysmal femoral/popliteal art NOS	265524008
87786	639751000006117	10	7A45200	Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to popliteal artery using vein graft	175622004
16957	271478018	9	7A15z00	Other emergency bypass of segment of aorta NOS	450682002
67842	173481000006117	9	7A40900	Replace aneurysm com iliac a by aorta/com iliac a anast NEC	116360008
87748	639351000006118	9	7A15400	Emerg bypass abdominal aorta by anastom aorta to aorta NEC	448122008
87753	639401000006114	9	7A47A00	Emerg bypass fem art by fem/peron a anast c vein graft NEC	233383008
87813	640151000006114	9	7A45.15	Emergency replacement of aneurysmal superficial femoral artery	233365000
38436	325067010	9	SP12z00	Peripheral vascular complications of care NOS	213217008
17176	272080015	8	7A50z00	Revision of reconstruction of artery NOS	175729002
42106	349717014	8	7A40.11	Replacement of aneurysmal iliac artery by anastomosis	233388004
67860	173661000006112	8	7A40100	Replace aneurysmal iliac art by iliac/femoral art anast NEC	265512001
87776	639621000006118	8	7A15100	Emerg bypass thoracic aorta by anatomosis aorta to aorta NEC	116360008
63169	17311000006112	8	7A46.11	Other replacement aneurysmal femoral artery by anastomosis	405463009
118684	1696231000006118	8	 	Peripheral vascular disease monitoring second letter	1696231000006102
17126	271842015	8	7A40y00	Other specified replacement of aneurysmal iliac artery	116360008
42100	349676019	8	7A45.12	Emergency replacement of aneurysmal common femoral artery	233368003
131894	1944091000006113	8	687G700	Cystic fibrosis screening, unsuitable sample: NHS number missing/not accurately recorded	947241000000109
87803	639901000006118	8	7A13100	Emergency replacement of aneurysmal segment of thoracic aorta by anastomosis of aorta to aorta	175299009
67848	173541000006112	7	7A46C00	Replace aneurysm fem artery by fem/fem art anastomosis NEC	44662004
87749	639361000006116	7	7A15000	Emerg bypass ascending aorta by anastom aorta to aorta NEC	116360008
87754	639411000006112	7	7A47800	Emerg bypass femoral art by fem/peron art anast c prosth NEC	233383008
67846	173521000006117	6	7A46600	Replace aneurysm fem art by fem/tib a anast c vein graft NEC	233383008
87766	639521000006117	6	7A41600	Emerg bypass leg artery by aorta/com fem art anastomosis NEC	116360008
65049	84591000006119	6	C109F12	Type 2 diabetes mellitus with peripheral angiopathy	314902007
16964	271490016	6	7A17200	Revision of prosthesis of abdominal aorta NEC	118809006
87777	639641000006113	6	7A11000	Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery	175283003
16965	271491017	6	7A17300	Removal of prosthesis from aorta	175334000
16967	271493019	6	7A17z00	Attention to prosthesis of aorta NOS	175330009
154312	4056731000006118	5	 	Venous intermittent claudication	95443002
130930	1924771000006111	5	67A1100	Education about amino acid-based infant formula	713407005
67847	173531000006119	5	7A46400	Replace aneurysm fem art by fem/tib art anast c prosth NEC	233383008
54077	1216757012	5	G73y411	Schultze's simple acroparaesthesia	57105000
16962	271488017	5	7A17000	Revision of prosthesis of thoracic aorta	175331008
67857	173631000006115	5	7A46500	Replace aneurysm pop art by pop/tib art anast c prosth NEC	233384002
47007	410969012	5	7A46.15	Other replacement of aneurysmal superficial femoral artery	405463009
87782	639711000006118	5	7A45300	Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to popliteal artery using vein graft	175623009

81449	428881000006112	5	U60G700	[X]Topically applied dental drugs causing adverse effects in therapeutic use	417895009
188133	6632271000006113	5	 	Peripheral artery occlusive disease	399957001
87787	639761000006115	5	7A45000	Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis	175620007
87763	639501000006110	4	7A41800	Emerg bypass iliac artery by iliac/iliac art anastomosis NEC	447920002
118685	1696241000006111	4	 	Peripheral vascular disease monitoring third letter	1696241000006107
16956	271477011	4	7A15y00	Other specified other emergency bypass of segment of aorta	450682002
67849	173551000006114	4	7A40A00	Replace aneurysm iliac art by aorta/ext iliac art anast NEC	116360008
87789	639781000006113	4	7A45400	Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to tibial artery using prosthesis	175624003
67852	173581000006118	4	7A40C00	Replace aneurysm leg artery by aorta/sup fem art anast NEC	116360008
67836	173421000006116	4	7A46B00	Replace aneurys pop art by pop/peron a anast c vein graf NEC	233384002
42096	349670013	4	7A47.13	Other emergency bypass of deep femoral artery	116360008
164634	5058081000006113	4	 	Lower limb ischemia	233961000
87797	639851000006111	4	7A45100	Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to popliteal artery using prosthesis	175621006
115602	1587801000006116	4	7A1Cy00	OS translum ins stent graft for aneurysmal segment of aorta	233404000
114131	1548221000006118	4	7A1By00	OS transluminal operations on aneurysmal segment of aorta	265499009
67834	173401000006114	3	7A46A00	Replace aneurys fem art by fem/peron a anast c vein graf NEC	233383008
87801	639891000006117	3	7A13200	Emergency replacement of aneurysmal segment of suprarenal abdominal aorta by anastomosis of aorta to aorta	175300001
87764	639511000006113	3	7A15300	Emerg bypass infrarenal aorta by anastom aorta to aorta NEC	449530008
87769	639541000006112	3	7A47B00	Emerg bypass pop art by pop/peron art anast c vein graft NEC	233384002
125771	1825131000006118	3	 	FH: Peripheral vascular disease	1825131000006102
17172	272076013	3	7A50100	Revision of reconstruction involving iliac artery	175731006
17160	272042016	3	7A4A800	Repair of popliteal artery with temporary silastic shunt	175711007
87790	639791000006111	3	7A40000	Emergency replacement of aneurysmal iliac artery by anastomosis of iliac artery to femoral artery	175562008
199731	8298661000006115	3	 	Peripheral vascular disease monitoring verbal invitation	863171000000101
156414	4392221000006118	3	 	Peripheral angiopathy due to diabetes mellitus	127014009
67851	173571000006116	3	7A40B00	Replace aneurysm leg artery by aorta/com fem art anast NEC	116360008
53419	503681010	3	G73y511	Nothnagel's vasomotor acroparaesthesia	77788005
83474	489971000000111	3	7A1A900	Transluminal aortic stent graft with branches NEC	233404000
17128	271865013	3	7A41E00	Emergency bypass of iliac artery by unspecified anastomosis	405477007
164635	5058091000006111	2	 	Ischemic leg	233961000
184885	6021741000006113	2	 	Critical ischemia of foot	312822006
205043	13919691000006119	2	 	Ulcer of ankle due to atherosclerosis of artery of lower limb	792850008
181135	5898341000006114	2	 	Ischemic foot	301755001
138461	2445351000000110	2	42G7000	Red blood cell pyruvate kinase screening test	1013841000000101
47021	410984015	2	7A4B.12	Transluminal procedure on deep femoral artery	275061005
47017	410980012	2	7A4A.12	Other open operations on deep femoral artery	118805000
67856	173621000006118	2	7A46700	Replace aneurysm pop art by pop/tib a anast c vein graft NEC	233384002
137825	2371151000000115	2	67A1300	Education about soya-based infant formula	714034008
87780	639701000006116	2	7A40500	Emergency replacement of aneurysmal iliac artery by anastomosis of aorta to external iliac artery	175567002
65068	84781000006112	2	C108G11	Type I diabetes mellitus with peripheral angiopathy	31211000119101
87752	639391000006112	2	7A41400	Emerg bypass comm iliac art by aorta/com iliac art anast NEC	116360008
87794	639831000006116	2	7A40700	Emergency replacement of aneurysmal artery of leg by anastomosis of aorta to superficial femoral artery	175569004
87796	639841000006114	2	7A45900	Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to peroneal artery using prosthesis	175629008
99456	913941000006114	2	C10EG11	Peripheral angiopathy due to type 1 diabetes mellitus	31211000119101
87799	639871000006118	2	7A45500	Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to tibial artery using prosthesis	175625002
82236	454891000006117	2	G73y500	Acroparaesthesia - Nothnagel's type	77788005
87812	640141000006112	2	7A45y00	Emergency replacement aneurysmal femoral/popliteal artery OS	265524008
67853	173591000006115	2	7A46900	Replace aneurysm pop art by pop/peron art anast c prosth NEC	233384002
67850	173561000006111	2	7A40D00	Replace aneurysm iliac artery by iliac/iliac art anast NEC	116360008
87779	639681000006119	2	7A40400	Emergency replacement of aneurysmal common iliac artery by anastomosis of aorta to common iliac artery	175566006

87798	639861000006113	1	7A45700	Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to tibial artery using vein graft	175627005
203489	12717471000006112	1	 	Peripheral vascular system anomaly NOS	204492002
42099	349675015	1	7A45.13	Emergency replacement of aneurysmal deep femoral artery	233367008
87804	639911000006115	1	7A40200	Emergency replacement of aneurysmal iliac artery by anastomosis of femoral artery to femoral artery	175564009
87805	639921000006111	1	7A45.11	Emergency replacement of aneurysmal femoral or popliteal artery by anastomosis	275255004
87793	639821000006119	1	7A40600	Emergency replacement of aneurysmal artery of leg by anastomosis of aorta to common femoral artery	175568007
87791	639801000006112	1	7A40800	Emergency replacement of aneurysmal iliac artery by anastomosis of iliac artery to iliac artery	175570003
87761	639481000006117	1	7A41500	Emerg bypass iliac artery by aorta/ext iliac art anast NEC	116360008
87767	639531000006119	1	7A41700	Emerg bypass leg artery by aorta/deep fem anastomosis NEC	405482000
188132	6632251000006115	1	 	Peripheral angiopathy	399957001
47009	410972017	1	7A46.13	Other replacement of aneurysmal deep femoral artery	405463009
183421	5967911000006119	1	 	Trash foot	307406004
47012	410975015	1	7A49.12	Reconstruction of deep femoral artery	275052005
103654	987781000006110	1	7A1A394	Other trunk angiography	54640009
77977	380381000006117	1	U11G700	[X]Explosion and rupture of gas cylinder, occurrence on farm	218073006
164631	5057981000006111	1	 	Peripheral ischemic vascular disease	233958001
67843	173491000006119	1	7A46800	Replace aneurysm fem art by fem/peron art anast c prosth NEC	233383008
149353	3532661000006118	1	 	IC - Intermittent claudication	63491006
146166	3207251000006119	1	 	Jaw claudication	43922008
205191	13944851000006115	1	 	Peripheral arterial vascular disease	840580004
