v1	medcodeid	observations	cleansedreadcode	term	snomedctconceptid
17159	272041011	10	"7A4A700"	"Repair of femoral artery with temporary silastic shunt"	175710008
67834	173401000006114	3	"7A46A00"	"Replace aneurys fem art by fem/peron a anast c vein graf NEC"	233383008
199248	8270131000006112	100	" "	"Excepted from peripheral arterial disease quality indicators - patient unsuitable"	822641000000104
63581	24571000006113	100	"7A4Ay00"	"Other open operation on femoral or popliteal artery OS"	118805000
65049	84591000006119	6	"C109F12"	"Type 2 diabetes mellitus with peripheral angiopathy"	314902007
67845	173511000006113	30	"7A46000"	"Replace aneurysm fem art by fem/pop art anastom c prosth NEC"	112828007
67854	173601000006111	30	"7A46300"	"Replace aneurysm pop art by pop/pop a anast c vein graft NEC"	233384002
67861	173671000006117	10	"7A40300"	"Replace aneurysmal iliac artery by fem/fem artery anast NEC"	265512001
27691	300506016	5000	"G732100"	"Gangrene of foot"	195303005
199468	8278561000006114	10	" "	"Ischaemic lower limb pain at rest"	836711000000108
17161	272052017	30000	"7A4B000"	"Percutaneous transluminal angioplasty of femoral artery"	175715003
184884	6021731000006115	60	" "	"Critical ischaemia of foot"	312822006
149353	3532661000006118	1	" "	"IC - Intermittent claudication"	63491006
44389	394330013	60	"7A43.00"	"Other open operations on iliac artery"	265511008
164637	5058121000006110	30	" "	"Critical lower limb ischemia"	233962007
16961	271487010	30	"7A17.00"	"Attention to prosthesis of aorta"	175330009
164633	5058071000006110	4000	" "	"Lower limb ischaemia"	233961000
44385	394323019	600	"7A41.00"	"Iliac artery bypass"	405477007
84673	530821000006116	200	"7A48300"	"Bypass popliteal artery by pop/pop a anast c vein graft NEC"	233384002
63172	17351000006113	30	"7A46z00"	"Other replacement of aneurysmal femoral/popliteal artery NOS"	405516005
17155	272035016	900	"7A4A300"	"Open embolectomy popliteal artery"	175705009
88282	659501000006114	50	"7A10.00"	"Extraanatomic bypass of aorta"	175275009
188163	6633851000006110	10	" "	"PVD-peripheral vascular disease"	400047006
47022	410985019	50	"7A4B.14"	"Transluminal procedure on popliteal artery"	275062003
49454	455901014	1000	"7A44400"	"Percutaneous transluminal insertion of iliac artery stent"	312227009
27687	300502019	10	"G731100"	"Presenile gangrene"	195299000
27891	300960019	200	"Gyu7100"	"[X]Aortic aneurysm of unspecified site, ruptured"	67362008
16984	271523010	30	"7A1Ay00"	"Other specified transluminal operation on aorta"	265499009
83410	488231000000113	40	"7A1B700"	"Endovascular stenting for aorto-uniiliac aneurysm"	225041000000107
42105	349694013	300	"7A13411"	"Tube graft abdominal aortic aneurysm - emergency"	233377005
87757	639441000006111	40	"7A47600"	"Emerg bypass femoral art by fem/tib a anast c vein graft NEC"	233383008
47009	410972017	1	"7A46.13"	"Other replacement of aneurysmal deep femoral artery"	405463009
42092	349666017	200	"7A48.11"	"Other bypass of femoral or popliteal artery by anastomosis"	405516005
87001	616561000006113	200	"C107200"	"Diabetes mellitus, adult with gangrene"	421631007
16968	271494013	1000	"7A18.00"	"Plastic repair of aorta"	175337007
205191	13944851000006116	1	" "	"Peripheral arterial vascular disease"	840580004
44401	394345018	1000	"7A4B600"	"Arteriography of femoral artery"	265531007
136399	2231911000000110	5000	"9m12.00"	"Peripheral vascular disease monitoring third letter"	863161000000108
84653	530211000006113	40	"7A41D00"	"Bypass iliac artery by iliac/iliac artery anastomosis NEC"	116360008
67837	173431000006118	10	"7A14200"	"Replace aneurys suprarenal aorta by anast aorta to aorta NEC"	116360008
115599	1587771000006118	300	"7A1C300"	"Repair of dissection of aorta with insertion of endovascular stent"	725371005
17166	272066010	70	"7A4B700"	"Arteriography of popliteal artery"	175722006
47019	410982016	400	"7A4B.15"	"Transluminal procedure on superficial femoral artery"	275059001
27737	300607015	3000	"G76A.00"	"Arterial insufficiency"	195374003
16967	271493019	6	"7A17z00"	"Attention to prosthesis of aorta NOS"	175330009
17164	272059014	60	"7A4B400"	"Percutaneous transluminal embolisation of femoral artery"	175719009
115602	1587801000006116	4	"7A1Cy00"	"OS translum ins stent graft for aneurysmal segment of aorta"	233404000
67859	173651000006110	100	"7A14100"	"Replace aneurysm thoracic aorta by anast of aorta/aorta NEC"	116360008
16976	271508017	300	"7A19100"	"Endarterectomy of aorta"	49187005
87798	639861000006113	1	"7A45700"	"Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to tibial artery using vein graft"	175627005
87779	639681000006119	2	"7A40400"	"Emergency replacement of aneurysmal common iliac artery by anastomosis of aorta to common iliac artery"	175566006
87814	640181000006118	60	"7A45.00"	"Emergency replacement of aneurysmal femoral or popliteal artery"	265524008
87769	639541000006112	3	"7A47B00"	"Emerg bypass pop art by pop/peron art anast c vein graft NEC"	233384002
87812	640141000006112	2	"7A45y00"	"Emergency replacement aneurysmal femoral/popliteal artery OS"	265524008
199732	8298671000006110	10	" "	"Peripheral vascular disease monitoring telephone invitation"	863181000000104
88631	668741000006116	2000	"7A48E00"	"Femorofemoral prosthetic crossover graft"	175685004
47017	410980012	2	"7A4A.12"	"Other open operations on deep femoral artery"	118805000
78423	384321000000116	40	"7A1Bz00"	"Transluminal operations on aneurysmal segment of aorta NOS"	265499009
17163	272056019	300	"7A4B300"	"Percutaneous transluminal embolectomy of popliteal artery"	175718001
16987	271526019	800	"7A1z.00"	"Aorta operations NOS"	32907006
16959	271485019	20	"7A16y00"	"Other specified other bypass of segment of aorta"	116360008
118685	1696241000006111	4	" "	"Peripheral vascular disease monitoring third letter"	1696241000006107
87760	639471000006115	40	"7A41000"	"Emerg bypass iliac art by iliac/femoral art anastomosis NEC"	51018000
87003	616581000006115	600	"C107100"	"Diabetes mellitus, adult, + peripheral circulatory disorder"	422166005
88917	674961000006118	400	"C107400"	"Peripheral circulatory disorder associated with type 2 diabetes mellitus"	422166005
47008	410970013	10	"7A46.12"	"Other replacement of aneurysmal common femoral artery"	405463009
44802	395791015	70000	"G73..00"	"Other peripheral vascular disease"	400047006
17134	271895017	10	"7A43y00"	"Other specified other open operation on iliac artery"	265511008
67841	173471000006115	100	"7A11300"	"Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery"	265493005
70128	232881000006113	20	"7A1A200"	"Percutaneous transluminal embolectomy of bifurcation of aorta"	175356002
17130	271868010	200	"7A41z00"	"Other bypass of iliac artery NOS"	116360008
16956	271477011	4	"7A15y00"	"Other specified other emergency bypass of segment of aorta"	450682002
6102	216185010	60000	"662U.00"	"Peripheral vascular disease monitoring"	134379001
127161	1847121000006114	20000	"G734.00"	"Peripheral arterial disease"	399957001
115596	1587741000006114	700	"7A1C000"	"Repair of aorto-uniiliac aneurysm with insertion of endovascular stent graft"	428809009
42095	349669012	200	"7A47.14"	"Other emergency bypass of popliteal artery"	116360008
180696	5886711000006111	200	" "	"Ischaemia of feet"	300917007
49453	455900010	200	"7A43300"	"Open insertion of iliac artery stent"	312226000
34789	317347010	1000	"R054200"	"[D]Gangrene of toe in diabetic"	195302000
62976	13791000006111	30	"C107y00"	"Other specified diabetes mellitus with periph circ comps"	421895002
87753	639401000006114	9	"7A47A00"	"Emerg bypass fem art by fem/peron a anast c vein graft NEC"	233383008
27653	300434013	300	"G702z00"	"Extremity artery atheroma NOS"	195254008
75782	359191000000114	200	"7A1B300"	"Endovascular stenting of aortic dissection in any position"	725371005
27694	300509011	100	"G732400"	"Gangrene of hand"	195306002
84649	530171000006111	700	"7A48C00"	"Femoral-femoral artery vascular bypass"	44662004
69863	224121000000118	5000	"7A12111"	"Aortic bifurcation bypass graft"	233373009
27698	300514010	5000	"G73yz00"	"Other specified peripheral vascular disease NOS"	400047006
87811	640131000006119	10	"7A45z00"	"Emergency replacement aneurysmal femoral/popliteal art NOS"	265524008
17126	271842015	8	"7A40y00"	"Other specified replacement of aneurysmal iliac artery"	116360008
87778	639651000006110	20	"7A11200"	"Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery"	265492000
44393	394335015	200	"7A44200"	"Arteriography of iliac artery"	265523002
68615	201771000006117	100	"7A49400"	"Profundoplasty of femoral artery and patch repair of deep femoral artery"	175693004
16957	271478018	9	"7A15z00"	"Other emergency bypass of segment of aorta NOS"	450682002
87021	616831000006118	500	"C107.12"	"Diabetes with gangrene"	422275004
44384	394322012	100	"7A40.00"	"Replacement of aneurysmal iliac artery"	265512001
118852	1701731000006110	50	"7A1BC00"	"Endovas insert stent for aortic aneurysm of bifurcation NEC"	307701005
67843	173491000006119	1	"7A46800"	"Replace aneurysm fem art by fem/peron art anast c prosth NEC"	233383008
91383	748091000006113	200	"7A4..11"	"Leg artery operations"	265511008
87777	639641000006113	6	"7A11000"	"Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery"	175283003
183421	5967911000006119	1	" "	"Trash foot"	307406004
27689	300504018	2000	"G732.00"	"Peripheral gangrene"	195301007
87758	639451000006113	100	"7A47400"	"Emerg bypass femoral art by fem/tib art anast c prosth NEC"	233383008
188131	6632221000006112	2000	" "	"Peripheral arterial occlusive disease"	399957001
61147	2674497017	300	"7A1AA00"	"Percutaneous transluminal insertion of stent into aorta"	427231006
71070	280561000006111	60	"C109F00"	"Non-insulin-dependent diabetes mellitus with peripheral angiopathy"	314902007
67857	173631000006115	5	"7A46500"	"Replace aneurysm pop art by pop/tib art anast c prosth NEC"	233384002
70300	238621000006112	20	"7A4B800"	"Percutaneous transluminal thrombolysis of femoral graft using streptokinase"	309449009
87749	639361000006116	7	"7A15000"	"Emerg bypass ascending aorta by anastom aorta to aorta NEC"	116360008
55641	1231360010	200	"7A1A311"	"Arteriography of aorta"	54640009
84656	530231000006119	50	"7A41C00"	"Bypass leg artery by aorta/deep femoral art anastomosis NEC"	405482000
118851	1701721000006112	200	"7A1BB00"	"Endovascular ins stent for aortic dissection in any position"	725371005
17157	272037012	1000	"7A4A500"	"Operation on aneurysm of femoral artery NEC"	265528006
92539	785611000006113	400	"7A41F00"	"Ilio-femoral prosthetic cross over graft"	175594003
16949	271444012	40	"7A12y00"	"Other specified other bypass of bifurcation of aorta"	233373009
67853	173591000006115	2	"7A46900"	"Replace aneurysm pop art by pop/peron art anast c prosth NEC"	233384002
67839	173451000006113	500	"7A14000"	"Replace aneurysm ascend aorta by anast of aorta/aorta NEC"	116360008
164634	5058081000006113	4	" "	"Lower limb ischemia"	233961000
42102	349678018	40000	"7A14.11"	"Aortic aneurysm repair"	233370007
67855	173611000006114	40	"7A46100"	"Replace aneurysm pop art by pop/pop art anastom c prosth NEC"	233384002
91090	742481000006118	30000	"G73..12"	"Ischaemic leg"	233961000
67844	173501000006110	30	"7A46200"	"Replace aneurysm fem art by fem/pop a anast c vein graft NEC"	112828007
164635	5058091000006111	2	" "	"Ischemic leg"	233961000
17142	272013012	10000	"7A49200"	"Femoral endarterectomy"	16589005
44394	394337011	100	"7A46.00"	"Other replacement of aneurysmal femoral artery"	405463009
87786	639751000006117	10	"7A45200"	"Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to popliteal artery using vein graft"	175622004
47010	410973010	300	"7A46.14"	"Repair of aneurysm with graft of popliteal artery"	77558004
16952	271447017	3000	"7A13.11"	"Emergency repair of aortic aneurysm"	175297006
199731	8298661000006115	3	" "	"Peripheral vascular disease monitoring verbal invitation"	863171000000101
205043	13919691000006120	2	" "	"Ulcer of ankle due to atherosclerosis of artery of lower limb"	792850008
16974	271506018	100	"7A19.00"	"Other open operations on aorta"	32907006
17168	272072010	600	"7A4z.00"	"Iliac and/or femoral artery operations"	265511008
87750	639371000006111	30	"7A12000"	"Emergency bypass of bifurcation of aorta by anastomosis of aorta to femoral artery"	175290008
16965	271491017	6	"7A17300"	"Removal of prosthesis from aorta"	175334000
114130	1548161000006117	1000	"7A1B000"	"Repair of infrarenal abdominal aortic aneurysm with insertion of endovascular stent"	441612006
70178	235911000006116	500000	"G73z.00"	"Peripheral vascular disease"	400047006
17149	272029016	600	"7A4A000"	"Repair of femoral artery NEC"	265528006
87761	639481000006117	1	"7A41500"	"Emerg bypass iliac artery by aorta/ext iliac art anast NEC"	116360008
87796	639841000006114	2	"7A45900"	"Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to peroneal artery using prosthesis"	175629008
47021	410984015	2	"7A4B.12"	"Transluminal procedure on deep femoral artery"	275061005
118682	1696211000006112	300	" "	"Peripheral vascular disease monitoring administration"	1696211000006108
87773	639591000006115	20	"7A47500"	"Emerg bypass popliteal art by pop/tib art anast c prosth NEC"	233384002
31117	309180011	20000	"M271200"	"Mixed diabetic ulcer - foot"	201252003
87789	639781000006113	4	"7A45400"	"Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to tibial artery using prosthesis"	175624003
87752	639391000006112	2	"7A41400"	"Emerg bypass comm iliac art by aorta/com iliac art anast NEC"	116360008
67835	173411000006112	300	"7A14300"	"Replace aneurys infrarenal aorta by anast aorta to aorta NEC"	116360008
67858	173641000006113	50	"7A46D00"	"Replace aneurysm popliteal artery by pop/fem anastomosis NEC"	112828007
118849	1701691000006119	600	"7A1B800"	"Endovascular insertion of stent for infrarenal abdominal aortic aneurysm"	441612006
87754	639411000006112	7	"7A47800"	"Emerg bypass femoral art by fem/peron art anast c prosth NEC"	233383008
2331	68879012	200	"7A19300"	"Operation on aortic body"	41293005
