prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber	BBvar
21145	937011000001101	86146020	4390	"Dilcardia SR 60mg capsules (Mylan)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	11680003	1
5194	193235001000027104	74598020	18369	"Dilzem sr 120mg Capsule (Elan Pharma)"	"Diltiazem Hydrochloride"	"120mg"	"Capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	6985003	1
16328	525311000001101	78409020	6230	"Verapress MR 240mg tablets (Dexcel-Pharma Ltd)"	"Verapamil hydrochloride"	"240mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	8203001	1
65821	14159111000001100	35421020	49	"Bisoprolol 7.5mg/5ml oral suspension"	"Bisoprolol fumarate"	"1.5mg/1ml"	"Oral suspension"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"March 2016"	35421020	1
11973	104111000001100	79934020	5906	"Calcicard CR 120mg tablets (Teva UK Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	8831001	1
52609	14252111000001108	942020	2258	"Inderal LA 160mg capsules (Sigma Pharmaceuticals Plc)"	"Propranolol hydrochloride"	"160mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"January 2013"	942020	1
18834	469811000001106	82002020	698	"Disogram SR 60mg capsules (Ranbaxy (UK) Ltd)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	9817001	1
10892	106611000001104	68369020	53649	"Emcor 10mg tablets (Merck Serono Ltd)"	"Bisoprolol fumarate"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	5195001	1
8558	196015001000027104	75162020	149506	"Adizem xl 120mg Capsule (Napp Pharmaceuticals Ltd)"	"Diltiazem Hydrochloride"	"120mg"	"Capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	7150001	1
77282	160595001000027104	69476020	17	"Metoprolol 190mg Modified-release tablet"	"Metoprolol"	"190mg"	"Modified-Release Tablet"	""	2040000	"Beta-Adrenoceptor Blockers"	"July 2019"	5500002	1
18403	95745001000027104	60315020	245	"Diltiazem HCl 180mg Modified-release capsule (Hillcross Pharmaceuticals Ltd)"	"Diltiazem Hydrochloride"	"180mg"	"Modified-Release Capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	3095009	1
57342	17919711000001100	928020	0	"Propranolol 40mg tablets (Phoenix Healthcare Distribution Ltd)"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"October 2013"	928020	1
1538	155445001000027104	68602020	796080	"Diltiazem 60mg tablets"	"Diltiazem Hydrochloride"	"60mg"	"Tablets"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	5259001	1
33836	75555001000027104	57662020	1	"Apsolol 160mg Tablet (Approved Prescription Services Ltd)"	"Propranolol hydrochloride"	"160mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"February 2009"	2410001	1
33839	13211000001101	62689020	171	"Bisoprolol 10mg tablets (Actavis UK Ltd)"	"Bisoprolol fumarate"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	3653010	1
21918	527711000001108	85943020	356	"Optil 60mg modified-release tablets (Opus Pharmaceuticals Ltd)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	11589001	1
33602	240711000001100	85990020	5	"Slo-Pro 160mg capsules (Mylan)"	"Propranolol hydrochloride"	"160mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"February 2009"	11611001	1
45289	243965001000027104	91796020	1	"Metoprolol tartrate Oral solution"	"Metoprolol Tartrate"	""	"Oral Solution"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"May 2011"	14492001	1
10429	17735001000027102	50246020	18088	"Lopresor 50mg Tablet (Novartis Pharmaceuticals UK Ltd)"	"Metoprolol tartrate"	"50mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	539001	1
56445	16183211000001104	77037020	1	"Atenolol 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Atenolol"	"5mg/1ml"	"Oral solution"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"August 2013"	7729009	1
33184	417811000001102	52914020	166	"Atenolol 100mg tablets (Wockhardt UK Ltd)"	"Atenolol"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	1201010	1
42804	129425001000027104	65086020	199	"Diltiazem HCl 180mg Capsule (PLIVA Pharma Ltd)"	"Diltiazem Hydrochloride"	"180mg"	"Capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"July 2010"	4283009	1
34430	499011000001103	57037020	1251	"Metoprolol 50mg tablets (Actavis UK Ltd)"	"Metoprolol tartrate"	"50mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	2259009	1
31676	70325001000027104	56932020	133	"Diltiazem HCl 120mg Modified-release tablet (Actavis UK Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	2235011	1
34824	45995001000027104	53803020	455	"Diltiazem HCl 120mg Modified-release tablet (IVAX Pharmaceuticals UK Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	1432011	1
39171	540011000001107	95543020	494	"Bi-Carzem SR 60mg capsules (Tillomed Laboratories Ltd)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"April 2009"	16384001	1
6066	35903211000001108	67919020	103947	"Atenolol 25mg/5ml oral solution sugar free"	"Atenolol"	"5mg/1ml"	"Oral solution"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	5070001	1
32262	12115001000027102	49558020	709	"Diltiazem HCl 60mg Tablet (C P Pharmaceuticals Ltd)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	377009	1
74062	14493611000001100	1165020	33	"Celectol 400mg tablets (Sigma Pharmaceuticals Plc)"	"Celiprolol hydrochloride"	"400mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"December 2018"	1165020	1
14058	712511000001106	83182020	20006	"Cardicor 1.25mg tablets (Merck Serono Ltd)"	"Bisoprolol fumarate"	"1.25mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	10341001	1
57176	21281711000001104	45145020	2	"Bisoprolol 10mg tablets (Accord Healthcare Ltd)"	"Bisoprolol fumarate"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"September 2013"	45145020	1
69108	29956011000001108	52680021	0	"Adizem-XL 300mg capsules (Lexon (UK) Ltd)"	"Diltiazem hydrochloride"	"300mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"April 2017"	52680021	1
3087	15356211000001102	75253020	7204	"Propranolol 40mg/5ml oral solution sugar free"	"Propranolol hydrochloride"	"8mg/1ml"	"Oral solution"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"February 2009"	7172001	1
71342	10530911000001104	1894020	18	"Dilzem XL 240 capsules (Waymade Healthcare Plc)"	"Diltiazem hydrochloride"	"240mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2018"	1894020	1
5478	35932311000001100	59376020	12671	"Propranolol 10mg/5ml oral solution sugar free"	"Propranolol hydrochloride"	"2mg/1ml"	"Oral solution"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"February 2009"	2877003	1
35940	479211000001100	91237020	3334	"Celectol 400mg tablets (Neon Healthcare Ltd)"	"Celiprolol hydrochloride"	"400mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	14211001	1
79012	3706411000001100	60582020	9	"Pindolol 5mg tablets (Mylan)"	"Pindolol"	"5mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"December 2019"	3156009	1
21866	54395001000027112	54822020	4443	"Berkolol 40mg Tablet (Berk Pharmaceuticals Ltd)"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"February 2009"	1700002	1
8262	318619000	68837020	241099	"Celiprolol 200mg tablets"	"Celiprolol hydrochloride"	"200mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	5327001	1
80197	36106511000001104	82654021	3	"Bedranol 40mg tablets (Ennogen Pharma Ltd)"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"March 2020"	82654021	1
82390	21502711000001100	45453020	0	"Slozem 120mg capsules (Waymade Healthcare Plc)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2021"	45453020	1
56173	18069311000001100	955020	4972	"Half Beta-Prograne 80mg modified-release capsules (Accord Healthcare Ltd)"	"Propranolol hydrochloride"	"80mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"August 2013"	955020	1
61532	24596711000001104	26725021	0	"Diltiazem 120mg modified-release capsules (Sigma Pharmaceuticals Plc)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"October 2014"	26725021	1
74930	16104311000001104	36923020	17	"Nadolol 30mg/5ml oral suspension (Drug Tariff Special Order)"	"Nadolol"	"6mg/1ml"	"Oral suspension"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2019"	36923020	1
34959	413611000001109	50799020	7	"Verapamil 40mg tablets (A A H Pharmaceuticals Ltd)"	"Verapamil hydrochloride"	"40mg"	"Tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	665009	1
12104	783511000001101	53065020	7187	"Cordilox 160mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Verapamil hydrochloride"	"160mg"	"Tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	1244001	1
56240	20283811000001104	40506020	149	"Bisoprolol 3.75mg tablets (Sandoz Ltd)"	"Bisoprolol fumarate"	"3.75mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"August 2013"	40506020	1
26460	199365001000027104	75964020	43	"Dilcardia xl 240mg Modified-release capsule (Generics (UK) Ltd)"	"Diltiazem hydrochloride"	"240mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	7372003	1
1048	821011000001100	54495020	35161	"Inderal 80mg tablets (AstraZeneca UK Ltd)"	"Propranolol hydrochloride"	"80mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"February 2009"	1618003	1
56467	14005111000001104	1909020	714	"Tildiem 60mg modified-release tablets (DE Pharmaceuticals)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"August 2013"	1909020	1
29998	160625001000027104	69479020	29	"Metoros 190mg Tablet (Novartis Pharmaceuticals UK Ltd)"	"Metoprolol"	"190mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	5501001	1
49863	35932811000001104	182020	6013	"Propranolol 5mg/5ml oral solution sugar free"	"Propranolol hydrochloride"	"1mg/1ml"	"Oral solution"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"January 2013"	182020	1
1686	39023111000001104	57176020	346542	"Diltiazem 90mg modified-release capsules"	"Diltiazem hydrochloride"	"90mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	2292001	1
56764	21870611000001100	47096020	0	"Propranolol 40mg tablets (Waymade Healthcare Plc)"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"August 2013"	47096020	1
82811	36922511000001104	86455021	0	"Propranolol 10mg tablets (Relonchem Ltd)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"January 2021"	86455021	1
297	318352004	59368020	2575744	"Propranolol 10mg tablets"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"February 2009"	2876001	1
78158	61815001000027104	55737020	275	"Labetalol 100mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Labetalol hydrochloride"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"October 2019"	1944009	1
51461	5407511000001101	865020	407	"Securon SR 240mg tablets (Waymade Healthcare Plc)"	"Verapamil hydrochloride"	"240mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2013"	865020	1
20642	228225001000027104	84957020	217	"Bi-carzem sr 60mg Modified-release capsule (Tillomed Laboratories Ltd)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	11162001	1
78098	15058411000001104	1119020	0	"Bisoprolol 2.5mg tablets (Sigma Pharmaceuticals Plc)"	"Bisoprolol fumarate"	"2.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"October 2019"	1119020	1
24218	54445001000027104	54826020	28	"Berkolol 160mg Tablet (Berk Pharmaceuticals Ltd)"	"Propranolol hydrochloride"	"160mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"February 2009"	1701001	1
5054	336611000001101	79521020	54507	"Angitil SR 180 capsules (Ethypharm UK Ltd)"	"Diltiazem hydrochloride"	"180mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	8641003	1
79622	30080911000001108	53251021	0	"Propranolol 40mg tablets (DE Pharmaceuticals)"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"January 2020"	53251021	1
50300	20475611000001108	41306020	6	"Congescor 1.25mg tablets (Teva UK Ltd)"	"Bisoprolol fumarate"	"1.25mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"January 2013"	41306020	1
44887	233545001000027104	86212020	3	"Bi-carzem xl 300mg Capsule (Tillomed Laboratories Ltd)"	"Diltiazem hydrochloride"	"300mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"March 2011"	11709002	1
34094	393511000001101	50072020	11702	"Metoprolol 50mg tablets (A A H Pharmaceuticals Ltd)"	"Metoprolol tartrate"	"50mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	498009	1
28788	232405001000027104	85953020	2	"Half propatard la 80mg Modified-release capsule (Galen Ltd)"	"Propranolol hydrochloride"	"80mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	11594001	1
48282	18311411000001104	1882020	2831	"Diltiazem 90mg modified-release capsules (A A H Pharmaceuticals Ltd)"	"Diltiazem hydrochloride"	"90mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2013"	1882020	1
21838	121575001000027104	64051020	821	"Propanix 80mg Tablet (Ashbourne Pharmaceuticals Ltd)"	"Propranolol hydrochloride"	"80mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"February 2009"	4004003	1
77077	12027111000001104	30483020	2	"Diltiazem 10mg/5ml oral solution"	"Diltiazem hydrochloride"	"2mg/1ml"	"Oral solution"	"Oral"	2060200	"Calcium-Channel Blockers"	"July 2019"	30483020	1
19426	108711000001107	79164020	696	"Disogram SR 240mg capsules (Ranbaxy (UK) Ltd)"	"Diltiazem hydrochloride"	"240mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	8481001	1
59597	4577511000001105	75862020	73	"Propranolol 160mg modified-release capsules (A A H Pharmaceuticals Ltd)"	"Propranolol hydrochloride"	"160mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"April 2014"	7342009	1
13394	373311000001100	51861020	5770	"Tenormin 25mg/5ml syrup (AstraZeneca UK Ltd)"	"Atenolol"	"5mg/1ml"	"Oral solution"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	932002	1
79349	24085001000027104	51028020	798	"Atenolol 100mg Tablet (Celltech Pharma Europe Ltd)"	"Atenolol"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"December 2019"	722010	1
707	318353009	59369020	3720014	"Propranolol 40mg tablets"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"February 2009"	2876002	1
26255	207165001000027104	78284020	57	"Lopranol la 160mg Capsule (Opus Pharmaceuticals Ltd)"	"Propranolol hydrochloride"	"160mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	8162001	1
34092	89911000001105	56768020	391	"Metoprolol 100mg tablets (Teva UK Ltd)"	"Metoprolol tartrate"	"100mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	2198010	1
21778	391911000001107	54633020	227	"Diltiazem 60mg modified-release tablets (Teva UK Ltd)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	1651009	1
26267	159975001000027104	69393020	997	"Optil sr 120mg Modified-release capsule (Opus Pharmaceuticals Ltd)"	"Diltiazem Hydrochloride"	"120mg"	"Modified-Release Capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	5479002	1
74029	5619211000001106	1870020	129	"Tildiem Retard 90mg tablets (Dowelhurst Ltd)"	"Diltiazem hydrochloride"	"90mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"December 2018"	1870020	1
76633	30080711000001104	53250021	0	"Propranolol 10mg tablets (DE Pharmaceuticals)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"June 2019"	53250021	1
53885	11252511000001108	74139020	1	"Bisoprolol 1.25mg tablets (A A H Pharmaceuticals Ltd)"	"Bisoprolol fumarate"	"1.25mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2013"	6850009	1
35729	279811000001100	54551020	333	"Verapamil 80mg tablets (Teva UK Ltd)"	"Verapamil hydrochloride"	"80mg"	"Tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	1633010	1
74076	13801211000001108	75699020	1	"Nebivolol 5mg tablets (PLIVA Pharma Ltd)"	"Nebivolol hydrochloride"	"5mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"December 2018"	7296009	1
2528	130211000001109	76293020	134449	"Slozem 120mg capsules (Zentiva Pharma UK Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	7472001	1
61651	18506811000001104	1149020	1	"Bisoprolol 7.5mg tablets (Almus Pharmaceuticals Ltd)"	"Bisoprolol fumarate"	"7.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"November 2014"	1149020	1
1684	3142711000001107	68629020	88773	"Beta-Adalat modified-release capsules (Bayer Plc)"	"Atenolol/Nifedipine"	"50mg + 20mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Calcium-Channel Blockers"	"February 2009"	5267001	1
19191	857511000001101	53707020	6003	"Atenolol 100mg tablets (Teva UK Ltd)"	"Atenolol"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	1408009	1
52686	12287511000001104	31458020	469	"Bisoprolol 2.5mg/5ml oral solution"	"Bisoprolol fumarate"	"500microgram/1ml"	"Oral solution"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"January 2013"	31458020	1
60502	19708211000001104	38490020	0	"Bisoprolol 3.75mg tablets (DE Pharmaceuticals)"	"Bisoprolol fumarate"	"3.75mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"July 2014"	38490020	1
17322	482511000001101	72698020	14607	"Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd)"	"Atenolol"	"25mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	6438003	1
26	318434003	67920020	9757045	"Atenolol 25mg tablets"	"Atenolol"	"25mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	5070002	1
46937	896111000001102	56930020	223	"Diltiazem 60mg modified-release tablets (Accord Healthcare Ltd)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"March 2012"	2235009	1
3118	181545001000027104	72560020	135054	"Adizem sr 90mg Modified-release capsule (Napp Pharmaceuticals Ltd)"	"Diltiazem hydrochloride"	"90mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	6399003	1
19858	890111000001100	83192020	8549	"Cardicor 10mg tablets (Merck Serono Ltd)"	"Bisoprolol fumarate"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	10343003	1
32552	10241511000001108	90619020	1824	"Congescor 2.5mg tablets (Tillomed Laboratories Ltd)"	"Bisoprolol fumarate"	"2.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	13901001	1
1295	318447008	68333020	42148	"Labetalol 400mg tablets"	"Labetalol hydrochloride"	"400mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	5186002	1
48870	19871811000001100	39292020	153	"Adizem-SR 90mg capsules (DE Pharmaceuticals)"	"Diltiazem hydrochloride"	"90mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2013"	39292020	1
55228	14782911000001108	927020	0	"Propranolol 40mg tablets (Boston Healthcare Ltd)"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"May 2013"	927020	1
1298	38750211000001104	65403020	331414	"Verapamil 240mg modified-release tablets"	"Verapamil hydrochloride"	"240mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	4373001	1
31711	100911000001107	50800020	482	"Verapamil 80mg tablets (A A H Pharmaceuticals Ltd)"	"Verapamil hydrochloride"	"80mg"	"Tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	665010	1
22793	82685001000027104	58484020	3	"Labrocol 200mg Tablet (Lagap)"	"Labetalol hydrochloride"	"200mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	2649002	1
71413	4773111000001108	1883020	29	"Diltiazem 120mg modified-release capsules (A A H Pharmaceuticals Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2018"	1883020	1
27135	155305001000027104	68574020	760	"Diltiazem sr 90mg Capsule (Hillcross Pharmaceuticals Ltd)"	"Diltiazem hydrochloride"	"90mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	5250009	1
47673	52485001000027104	54575020	30	"Labetalol 400mg Tablet (Approved Prescription Services Ltd)"	"Labetalol hydrochloride"	"400mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"August 2012"	1638011	1
594	318605000	83178020	8465162	"Bisoprolol 2.5mg tablets"	"Bisoprolol fumarate"	"2.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	10340001	1
64973	29771711000001104	52168021	0	"Atenolol 50mg tablets (Sigma Pharmaceuticals Plc)"	"Atenolol"	"50mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"December 2015"	52168021	1
82838	36922711000001104	86457021	1	"Propranolol 80mg tablets (Relonchem Ltd)"	"Propranolol hydrochloride"	"80mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"January 2021"	86457021	1
57240	8635811000001107	20539020	1	"Metoprolol 50mg/5ml oral suspension (Special Order)"	"Metoprolol tartrate"	"10mg/1ml"	"Oral suspension"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"September 2013"	20539020	1
61564	21802311000001104	47117020	0	"Bisoprolol 3.75mg tablets (Waymade Healthcare Plc)"	"Bisoprolol fumarate"	"3.75mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"November 2014"	47117020	1
