prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues	BBvar
5998241000033112	"8720211000001109"	"Ramipril 1.25mg/5ml oral solution"	"Ramipril 1.25mg/5ml oral solution"	"Oral solution"	"Oral"	"Ramipril"	"250.000microgram/1.000ml"	" "	200	0
59141000033113	"908511000001100"	"Amias 16mg tablets (Takeda UK Ltd)"	"Amias 16mg tablets"	"Tablet"	"Oral"	"Candesartan cilexetil"	"16.000mg"	"2050502"	50000	0
1918941000033117	"508511000001105"	"Pralenal 20 tablets (Opus Pharmaceuticals Ltd)"	"Pralenal 20 tablets"	"Tablet"	"Oral"	"Enalapril maleate"	"20.000mg"	"2050501"	100	0
12682241000033110	"36237311000001101"	"Amlodipine 5mg/5ml oral suspension sugar free"	"Amlodipine 5mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Amlodipine"	"1.000mg/1.000ml"	" "	2000	0
5566341000033111	"409185001"	"Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets"	"Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Olmesartan medoxomil"	"12.500mg + 40.000mg"	" "	10000	0
851941000033113	"318956006"	"Losartan 50mg tablets"	"Losartan 50mg tablets"	"Tablet"	"Oral"	"Losartan potassium"	"50.000mg"	"2050502"	10000000	0
4548741000033111	"13731911000001109"	"Telmisartan 80mg / Hydrochlorothiazide 25mg tablets"	"Telmisartan 80mg / Hydrochlorothiazide 25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"25.000mg + 80.000mg"	" "	10000	0
176741000033114	"344811000001108"	"Cardene 20mg capsules (Astellas Pharma Ltd)"	"Cardene 20mg capsules"	"Capsule"	"Oral"	"Nicardipine hydrochloride"	"20.000mg"	"2060200"	80000	0
5576441000033112	"13565311000001101"	"Folpik XL 2.5mg tablets (Teva UK Ltd)"	"Folpik XL 2.5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"2.500mg"	" "	2000	0
6012541000033117	"8485611000001104"	"Enalapril 1.25mg/5ml oral suspension"	"Enalapril 1.25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Enalapril maleate"	"250.000microgram/1.000ml"	" "	60	0
2883341000033118	"8720911000001100"	"Ramipril 5mg/5ml oral suspension"	"Ramipril 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Ramipril"	"1.000mg/1.000ml"	" "	8000	0
2216241000033110	"682711000001109"	"CoAprovel 300mg/12.5mg tablets (Sanofi)"	"CoAprovel 300mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Irbesartan"	"12.500mg + 300.000mg"	"2050502"	80000	0
5006341000033113	"15772611000001102"	"Sevikar 40mg/10mg tablets (Daiichi Sankyo UK Ltd)"	"Sevikar 40mg/10mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Olmesartan medoxomil"	"10.000mg + 40.000mg"	"2050502"	2000	0
2989841000033118	"408052000"	"Ramipril 10mg tablets"	"Ramipril 10mg tablets"	"Tablet"	"Oral"	"Ramipril"	"10.000mg"	"2050501"	2000000	0
3160941000033113	"318880006"	"Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets"	"Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Lisinopril"	"12.500mg + 20.000mg"	"2050501"	800000	0
5971541000033112	"8622811000001102"	"Lisinopril 7.5mg/5ml oral solution"	"Lisinopril 7.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Lisinopril"	"1.500mg/1.000ml"	" "	50	0
3190841000033119	"8150111000001108"	"Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Co-Diovan 80mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Valsartan"	"12.500mg + 80.000mg"	"2050502"	9000	0
1470341000033112	"191211000001106"	"Triam-Co 50mg/25mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Triam-Co 50mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Triamterene"	"25.000mg + 50.000mg"	"2020400"	30000	0
4571241000033110	"13824811000001102"	"Ethibide XL 1.5mg tablets (Genus Pharmaceuticals Ltd)"	"Ethibide XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	"2020100"	9	0
937041000033114	"910911000001108"	"Motens 2mg tablets (GlaxoSmithKline UK Ltd)"	"Motens 2mg tablets"	"Tablet"	"Oral"	"Lacidipine"	"2.000mg"	"2060200"	70000	0
3995341000033119	"10968611000001106"	"CoAprovel 300mg/25mg tablets (Sanofi)"	"CoAprovel 300mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Irbesartan"	"25.000mg + 300.000mg"	" "	6000	0
522641000033110	"318853004"	"Enalapril 10mg tablets"	"Enalapril 10mg tablets"	"Tablet"	"Oral"	"Enalapril maleate"	"10.000mg"	"2050501"	5000000	0
4424741000033110	"13112711000001103"	"Losartan 100mg / Hydrochlorothiazide 12.5mg tablets"	"Losartan 100mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Losartan potassium"	"12.500mg + 100.000mg"	" "	100000	0
3163241000033112	"318177008"	"Felodipine 5mg modified-release / Ramipril 5mg tablets"	"Felodipine 5mg modified-release / Ramipril 5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine/ Ramipril"	"5.000mg + 5.000mg"	"2050501"	50000	0
1455641000033111	"835411000001105"	"Tritace 2.5mg capsules (Sanofi)"	"Tritace 2.5mg capsules"	"Capsule"	"Oral"	"Ramipril"	"2.500mg"	"2050501"	30000	0
9105441000033110	"23985211000001103"	"Perindopril erbumine 8mg / Amlodipine 5mg tablets"	"Perindopril erbumine 8mg / Amlodipine 5mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Perindopril erbumine"	"5.000mg + 8.000mg"	" "	2000	0
9292741000033112	"24573411000001102"	"Tolucombi 80mg/12.5mg tablets (Consilient Health Ltd)"	"Tolucombi 80mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"12.500mg + 80.000mg"	" "	2	0
3154941000033110	"7887511000001107"	"Cardioplen XL 10mg tablets (Chiesi Ltd)"	"Cardioplen XL 10mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	"2060200"	300000	0
3162941000033114	"39725011000001105"	"Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets"	"Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Acebutolol hydrochloride/ Hydrochlorothiazide"	"200.000mg + 12.500mg"	" "	500	0
5899041000033115	"8352011000001100"	"Captopril 6.25mg/5ml oral suspension"	"Captopril 6.25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"1.250mg/1.000ml"	" "	50	0
4454241000033115	"13445211000001108"	"Coversyl Arginine 2.5mg tablets (Servier Laboratories Ltd)"	"Coversyl Arginine 2.5mg tablets"	"Tablet"	"Oral"	"Perindopril arginine"	"2.500mg"	"2050501"	30000	0
11041000033117	"814111000001108"	"Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acepril 50mg tablets"	"Tablet"	"Oral"	"Captopril"	"50.000mg"	"2050501"	10000	0
5150041000033110	"15506811000001105"	"Cozaar 2.5mg/ml oral suspension (Organon Pharma (UK) Ltd)"	"Cozaar 2.5mg/ml oral suspension"	"Oral suspension"	"Oral"	"Losartan potassium"	"2.500mg/1.000ml"	"2050502"	200	0
769141000033117	"749611000001107"	"Innovace 2.5mg tablets (Organon Pharma (UK) Ltd)"	"Innovace 2.5mg tablets"	"Tablet"	"Oral"	"Enalapril maleate"	"2.500mg"	"2050501"	60000	0
2979941000033119	"4785111000001103"	"Felotens XL 5mg tablets (Thornton & Ross Ltd)"	"Felotens XL 5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"5.000mg"	"2060200"	100000	0
2990041000033116	"5010811000001109"	"Tritace 2.5mg tablets (Sanofi)"	"Tritace 2.5mg tablets"	"Tablet"	"Oral"	"Ramipril"	"2.500mg"	"2050501"	20000	0
1739841000033119	"318943004"	"Imidapril 5mg tablets"	"Imidapril 5mg tablets"	"Tablet"	"Oral"	"Imidapril hydrochloride"	"5.000mg"	"2050501"	30000	0
9292641000033116	"24573211000001101"	"Tolucombi 40mg/12.5mg tablets (Consilient Health Ltd)"	"Tolucombi 40mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"12.500mg + 40.000mg"	" "	3	0
2989641000033119	"408050008"	"Ramipril 2.5mg tablets"	"Ramipril 2.5mg tablets"	"Tablet"	"Oral"	"Ramipril"	"2.500mg"	"2050501"	1000000	0
2944541000033111	"408055003"	"Olmesartan medoxomil 10mg tablets"	"Olmesartan medoxomil 10mg tablets"	"Tablet"	"Oral"	"Olmesartan medoxomil"	"10.000mg"	"2050502"	1000000	0
9159541000033116	"24413611000001103"	"Actelsar HCT 80mg/25mg tablets (Accord Healthcare Ltd)"	"Actelsar HCT 80mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"25.000mg + 80.000mg"	" "	20	0
3188841000033118	"8046411000001106"	"Amlostin 10mg tablets (Discovery Pharmaceuticals)"	"Amlostin 10mg tablets"	"Tablet"	"Oral"	"Amlodipine"	"10.000mg"	"2060200"	200000	0
3161041000033115	"35910011000001105"	"Bendroflumethiazide 2.5mg / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets"	"Bendroflumethiazide 2.5mg / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets"	"Modified-release tablet"	"Oral"	"Bendroflumethiazide/ Potassium chloride"	"2.500mg + 573.000mg"	" "	2000	0
211841000033117	"318979007"	"Candesartan 8mg tablets"	"Candesartan 8mg tablets"	"Tablet"	"Oral"	"Candesartan cilexetil"	"8.000mg"	"2050502"	8000000	0
4454541000033118	"13454311000001101"	"Perindopril arginine 5mg / Indapamide 1.25mg tablets"	"Perindopril arginine 5mg / Indapamide 1.25mg tablets"	"Tablet"	"Oral"	"Indapamide/ Perindopril arginine"	"1.250mg + 5.000mg"	"2050501"	200000	0
5967041000033117	"8485711000001108"	"Enalapril 10mg/5ml oral solution"	"Enalapril 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Enalapril maleate"	"2.000mg/1.000ml"	" "	100	0
9108041000033112	"23707311000001108"	"Captopril 25mg/5ml oral solution sugar free"	"Captopril 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Captopril"	"5.000mg/1.000ml"	"2050501"	7000	0
2945041000033117	"4624611000001108"	"Olmetec 40mg tablets (Daiichi Sankyo UK Ltd)"	"Olmetec 40mg tablets"	"Tablet"	"Oral"	"Olmesartan medoxomil"	"40.000mg"	"2050502"	8000	0
5568741000033113	"20556011000001103"	"Lisinopril 40mg/5ml oral suspension"	"Lisinopril 40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lisinopril"	"8.000mg/1.000ml"	" "	100	0
4454141000033110	"13454111000001103"	"Perindopril arginine 10mg tablets"	"Perindopril arginine 10mg tablets"	"Tablet"	"Oral"	"Perindopril arginine"	"10.000mg"	"2050501"	60000	0
1551941000033114	"825311000001100"	"Zestril 10mg tablets (AstraZeneca UK Ltd)"	"Zestril 10mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"10.000mg"	"2050501"	300000	0
8554141000033116	"22720311000001108"	"Ifirmasta 75mg tablets (Consilient Health Ltd)"	"Ifirmasta 75mg tablets"	"Tablet"	"Oral"	"Irbesartan"	"75.000mg"	" "	20	0
742641000033113	"4546211000001109"	"Hydrosaluric 50mg tablets (Organon Pharma (UK) Ltd)"	"Hydrosaluric 50mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide"	"50.000mg"	" "	2000	0
5132041000033112	"8348611000001106"	"Captopril 25mg/5ml oral suspension"	"Captopril 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"5.000mg/1.000ml"	" "	2000	0
2864341000033117	"3806911000001105"	"MicardisPlus 80mg/12.5mg tablets (Boehringer Ingelheim Ltd)"	"MicardisPlus 80mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"12.500mg + 80.000mg"	"2050502"	30000	0
967141000033119	"319218009"	"Nicardipine 30mg capsules"	"Nicardipine 30mg capsules"	"Capsule"	"Oral"	"Nicardipine hydrochloride"	"30.000mg"	"2060200"	100000	0
3162341000033110	"318100006"	"Triamterene 50mg / Chlortalidone 50mg tablets"	"Triamterene 50mg / Chlortalidone 50mg tablets"	"Tablet"	"Oral"	"Chlortalidone/ Triamterene"	"50.000mg + 50.000mg"	"2020400"	4000	0
4548841000033118	"13719711000001103"	"MicardisPlus 80mg/25mg tablets (Boehringer Ingelheim Ltd)"	"MicardisPlus 80mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"25.000mg + 80.000mg"	" "	1000	0
13141000033119	"263311000001101"	"Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acezide 25mg/50mg tablets"	"Tablet"	"Oral"	"Captopril/ Hydrochlorothiazide"	"50.000mg + 25.000mg"	"2050501"	20000	0
897541000033115	"318673006"	"Methyldopa 500mg tablets"	"Methyldopa 500mg tablets"	"Tablet"	"Oral"	"Methyldopa anhydrous"	"500.000mg"	"2050200"	200000	0
215441000033118	"368711000001103"	"Catapres 300microgram tablets (Boehringer Ingelheim Ltd)"	"Catapres 300microgram tablets"	"Tablet"	"Oral"	"Clonidine hydrochloride"	"300.000microgram"	"2050200"	2000	0
3152541000033112	"7668611000001104"	"Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Co-Diovan 160mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Valsartan"	"12.500mg + 160.000mg"	"2050502"	10000	0
837941000033119	"318857003"	"Lisinopril 2.5mg tablets"	"Lisinopril 2.5mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"2.500mg"	"2050501"	5000000	0
3909241000033111	"10261811000001100"	"Olmetec Plus 20mg/25mg tablets (Daiichi Sankyo UK Ltd)"	"Olmetec Plus 20mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Olmesartan medoxomil"	"25.000mg + 20.000mg"	"2050502"	2000	0
770141000033115	"146811000001108"	"Innozide 20mg/12.5mg tablets (Organon Pharma (UK) Ltd)"	"Innozide 20mg/12.5mg tablets"	"Tablet"	"Oral"	"Enalapril maleate/ Hydrochlorothiazide"	"20.000mg + 12.500mg"	"2050501"	100000	0
4521741000033117	"8089811000001107"	"Neofel XL 10mg tablets (Kent Pharma (UK) Ltd)"	"Neofel XL 10mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	"2060200"	100	0
1622041000033110	"777711000001105"	"Kaplon 12.5mg tablets (Teva UK Ltd)"	"Kaplon 12.5mg tablets"	"Tablet"	"Oral"	"Captopril"	"12.500mg"	"2050501"	70	0
3083141000033112	"317919004"	"Bendroflumethiazide 2.5mg tablets"	"Bendroflumethiazide 2.5mg tablets"	"Tablet"	"Oral"	"Bendroflumethiazide"	"2.500mg"	"2020100"	80000000	0
480541000033110	"3354611000001100"	"Doralese Tiltab 20mg tablets (Chemidex Pharma Ltd)"	"Doralese Tiltab 20mg tablets"	"Tablet"	"Oral"	"Indoramin hydrochloride"	"20.000mg"	"7040100"	100000	0
3346841000033117	"395497004"	"Losartan 100mg / Hydrochlorothiazide 25mg tablets"	"Losartan 100mg / Hydrochlorothiazide 25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Losartan potassium"	"25.000mg + 100.000mg"	" "	300000	0
2145841000033114	"318942009"	"Imidapril 20mg tablets"	"Imidapril 20mg tablets"	"Tablet"	"Oral"	"Imidapril hydrochloride"	"20.000mg"	"2050501"	30000	0
741941000033113	"318649003"	"Hydralazine 25mg tablets"	"Hydralazine 25mg tablets"	"Tablet"	"Oral"	"Hydralazine hydrochloride"	"25.000mg"	"2050100"	500000	0
3162241000033117	"39691911000001109"	"Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets"	"Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Enalapril maleate/ Hydrochlorothiazide"	"20.000mg + 12.500mg"	"2050501"	80000	0
971441000033112	"39021711000001108"	"Nicardipine 30mg modified-release capsules"	"Nicardipine 30mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Nicardipine hydrochloride"	"30.000mg"	"2060200"	80000	0
6044541000033115	"8622411000001104"	"Lisinopril 20mg/5ml oral suspension"	"Lisinopril 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lisinopril"	"4.000mg/1.000ml"	" "	400	0
2040941000033117	"151411000001103"	"Teveten 400mg tablets (Abbott Healthcare Products Ltd)"	"Teveten 400mg tablets"	"Tablet"	"Oral"	"Eprosartan mesilate"	"400.000mg"	"2050502"	4000	0
5005841000033114	"429502004"	"Olmesartan medoxomil 20mg / Amlodipine 5mg tablets"	"Olmesartan medoxomil 20mg / Amlodipine 5mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Olmesartan medoxomil"	"5.000mg + 20.000mg"	"2050502"	20000	0
9121841000033116	"24331611000001104"	"Cardide SR 1.5mg tablets (Teva UK Ltd)"	"Cardide SR 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	" "	3000	0
2036541000033110	"318996008"	"Eprosartan 600mg tablets"	"Eprosartan 600mg tablets"	"Tablet"	"Oral"	"Eprosartan mesilate"	"600.000mg"	"2050502"	500000	0
2989741000033111	"408051007"	"Ramipril 5mg tablets"	"Ramipril 5mg tablets"	"Tablet"	"Oral"	"Ramipril"	"5.000mg"	"2050501"	1000000	0
769841000033111	"39696711000001101"	"Indoramin 25mg tablets"	"Indoramin 25mg tablets"	"Tablet"	"Oral"	"Indoramin hydrochloride"	"25.000mg"	"2050400"	30000	0
615641000033118	"82611000001106"	"Frumil Forte 10mg/80mg tablets (Sanofi)"	"Frumil Forte 10mg/80mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Furosemide"	"10.000mg + 80.000mg"	"2020400"	10000	0
216141000033119	"56711000001109"	"Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Carace 20mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"20.000mg"	" "	30000	0
216041000033118	"321011000001103"	"Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Carace 2.5mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"2.500mg"	" "	20000	0
4273241000033118	"14680711000001103"	"Olmesartan medoxomil 10mg/5ml oral suspension"	"Olmesartan medoxomil 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Olmesartan medoxomil"	"2.000mg/1.000ml"	" "	100	0
3333941000033117	"19820711000001101"	"Captopril 8mg/5ml oral suspension"	"Captopril 8mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"1.600mg/1.000ml"	" "	80	0
1739741000033112	"318944005"	"Imidapril 10mg tablets"	"Imidapril 10mg tablets"	"Tablet"	"Oral"	"Imidapril hydrochloride"	"10.000mg"	"2050501"	60000	0
838041000033116	"318860005"	"Lisinopril 20mg tablets"	"Lisinopril 20mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"20.000mg"	"2050501"	20000000	0
5566441000033117	"17220911000001102"	"Olmetec Plus 40mg/12.5mg tablets (Daiichi Sankyo UK Ltd)"	"Olmetec Plus 40mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Olmesartan medoxomil"	"12.500mg + 40.000mg"	" "	1000	0
5970641000033117	"8580811000001101"	"Irbesartan 150mg/5ml oral suspension"	"Irbesartan 150mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Irbesartan"	"30.000mg/1.000ml"	" "	90	0
775641000033115	"318968002"	"Irbesartan 75mg tablets"	"Irbesartan 75mg tablets"	"Tablet"	"Oral"	"Irbesartan"	"75.000mg"	"2050502"	2000000	0
3279541000033115	"8145711000001102"	"Lisicostad 10mg/12.5mg tablets (Genus Pharmaceuticals Ltd)"	"Lisicostad 10mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Lisinopril"	"12.500mg + 10.000mg"	"2050501"	20	0
3909141000033116	"10261511000001103"	"Olmetec Plus 20mg/12.5mg tablets (Daiichi Sankyo UK Ltd)"	"Olmetec Plus 20mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Olmesartan medoxomil"	"12.500mg + 20.000mg"	"2050502"	6000	0
53841000033117	"35900111000001108"	"Amiloride 5mg/5ml oral solution sugar free"	"Amiloride 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amiloride hydrochloride"	"1.000mg/1.000ml"	"2020300"	20000	0
8554341000033118	"22720811000001104"	"Ifirmasta 300mg tablets (Consilient Health Ltd)"	"Ifirmasta 300mg tablets"	"Tablet"	"Oral"	"Irbesartan"	"300.000mg"	" "	10	0
4453941000033114	"13454211000001109"	"Perindopril arginine 2.5mg tablets"	"Perindopril arginine 2.5mg tablets"	"Tablet"	"Oral"	"Perindopril arginine"	"2.500mg"	"2050501"	20000	0
3227341000033118	"8983911000001107"	"Amias 32mg tablets (Takeda UK Ltd)"	"Amias 32mg tablets"	"Tablet"	"Oral"	"Candesartan cilexetil"	"32.000mg"	" "	20000	0
4805941000033114	"8720711000001102"	"Ramipril 2.5mg/5ml oral suspension"	"Ramipril 2.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Ramipril"	"500.000microgram/1.000ml"	" "	4000	0
4508041000033119	"29826311000001101"	"Amlodipine 5mg/5ml oral solution sugar free"	"Amlodipine 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amlodipine"	"1.000mg/1.000ml"	" "	20000	0
765741000033116	"39020711000001100"	"Indapamide 1.5mg modified-release tablets"	"Indapamide 1.5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	"2020100"	6000000	0
6180841000033113	"18987011000001101"	"Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd)"	"Sevikar HCT 40mg/10mg/12.5mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Hydrochlorothiazide/ Olmesartan medoxomil"	"10.000mg + 12.500mg + 40.000mg"	"2050502"	6000	0
6180641000033112	"18986411000001108"	"Sevikar HCT 20mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd)"	"Sevikar HCT 20mg/5mg/12.5mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Hydrochlorothiazide/ Olmesartan medoxomil"	"5.000mg + 12.500mg + 20.000mg"	"2050502"	8000	0
4454441000033119	"13444611000001109"	"Coversyl Arginine 10mg tablets (Servier Laboratories Ltd)"	"Coversyl Arginine 10mg tablets"	"Tablet"	"Oral"	"Perindopril arginine"	"10.000mg"	"2050501"	10000	0
13241000033114	"231111000001106"	"Accupro 10mg tablets (Pfizer Ltd)"	"Accupro 10mg tablets"	"Tablet"	"Oral"	"Quinapril hydrochloride"	"10.000mg"	"2050501"	20000	0
9105341000033116	"23984911000001108"	"Perindopril erbumine 4mg / Amlodipine 10mg tablets"	"Perindopril erbumine 4mg / Amlodipine 10mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Perindopril erbumine"	"10.000mg + 4.000mg"	" "	600	0
1552241000033111	"823211000001109"	"Zestril 5mg tablets (AstraZeneca UK Ltd)"	"Zestril 5mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"5.000mg"	"2050501"	200000	0
215341000033112	"215111000001101"	"Catapres 100microgram tablets (Glenwood GmbH)"	"Catapres 100microgram tablets"	"Tablet"	"Oral"	"Clonidine hydrochloride"	"100.000microgram"	"2050200"	20000	0
2956041000033112	"220711000001102"	"Amoride 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Amoride 5mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride"	"5.000mg"	" "	8	0
7755141000033114	"20350911000001100"	"Edarbi 20mg tablets (Takeda UK Ltd)"	"Edarbi 20mg tablets"	"Tablet"	"Oral"	"Azilsartan medoxomil"	"20.000mg"	"2050502"	20	0
1849841000033116	"527411000001102"	"Micardis 80mg tablets (Boehringer Ingelheim Ltd)"	"Micardis 80mg tablets"	"Tablet"	"Oral"	"Telmisartan"	"80.000mg"	"2050502"	10000	0
3162641000033119	"407855002"	"Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets"	"Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"12.500mg + 40.000mg"	"2050502"	90000	0
199041000033110	"118811000001102"	"Cardene SR 45mg capsules (Astellas Pharma Ltd)"	"Cardene SR 45mg capsules"	"Modified-release capsule"	"Oral"	"Nicardipine hydrochloride"	"45.000mg"	"2060200"	6000	0
5971341000033117	"8622111000001109"	"Lisinopril 2.5mg/5ml oral solution"	"Lisinopril 2.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Lisinopril"	"500.000microgram/1.000ml"	" "	400	0
8961341000033119	"23681711000001107"	"Noyada 25mg/5ml oral solution (Martindale Pharmaceuticals Ltd)"	"Noyada 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Captopril"	"5.000mg/1.000ml"	"2050501"	300	0
3346941000033113	"9566911000001105"	"Cozaar-Comp 100mg/25mg tablets (Organon Pharma (UK) Ltd)"	"Cozaar-Comp 100mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Losartan potassium"	"25.000mg + 100.000mg"	" "	20000	0
2719841000033113	"8348311000001101"	"Captopril 20mg/5ml oral suspension"	"Captopril 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"4.000mg/1.000ml"	" "	800	0
3940841000033110	"8791811000001109"	"Captopril 2mg capsules"	"Captopril 2mg capsules"	"Capsule"	"Oral"	"Captopril"	"2.000mg"	" "	200	0
2990141000033117	"5011111000001108"	"Tritace 5mg tablets (Sanofi)"	"Tritace 5mg tablets"	"Tablet"	"Oral"	"Ramipril"	"5.000mg"	"2050501"	30000	0
4656741000033119	"14242211000001100"	"Tensaid XL 1.5mg tablets (Mylan)"	"Tensaid XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	"2020100"	500	0
892341000033112	"8667311000001100"	"Methyldopa 250mg/5ml oral suspension"	"Methyldopa 250mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Methyldopa anhydrous"	"50.000mg/1.000ml"	" "	1000	0
1425341000033119	"318779003"	"Terazosin 2mg tablets"	"Terazosin 2mg tablets"	"Tablet"	"Oral"	"Terazosin hydrochloride"	"2.000mg"	"7040100"	200000	0
5898741000033114	"8347111000001104"	"Captopril 12.5mg/5ml oral solution"	"Captopril 12.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Captopril"	"2.500mg/1.000ml"	" "	100	0
214341000033111	"386611000001109"	"Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Capoten 50mg tablets"	"Tablet"	"Oral"	"Captopril"	"50.000mg"	"2050501"	80000	0
1149341000033118	"318886000"	"Quinapril 10mg tablets"	"Quinapril 10mg tablets"	"Tablet"	"Oral"	"Quinapril hydrochloride"	"10.000mg"	"2050501"	200000	0
