prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber
57292	21997711000001108	47844020	81	"Flucloxacillin 250mg/5ml oral solution sugar free (Waymade Healthcare Plc)"	"Flucloxacillin sodium"	"50mg/1ml"	"Oral solution"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"September 2013"	47844020
12330	153755001000027104	68308020	237	"Erythromycin ethylsuccinate 1g sachets"	"Erythromycin Ethyl Succinate"	"1g"	"Sachets"	"Oral"	5010500	"Macrolides"	"February 2009"	5179001
31690	9740211000001104	89871020	6	"Clarosip 250mg granules for oral suspension straws (Grunenthal Ltd)"	"Clarithromycin"	"250mg"	"Granules"	"Oral"	0	"Unknown"	"February 2009"	13526001
24643	108815001000027104	62254020	2	"Demeclocycline with chlortetracycline with tetracycline tablets"	"Chlortetracycline Hydrochloride/Tetracycline Hydrochloride/Demeclocycline Hydrochloride"	""	"Tablets"	"Oral"		"Tetracyclines/Oral Antibacterials For Acne"	"February 2009"	3552001
57081	22009611000001104	47410020	0	"Co-amoxiclav 500mg/125mg tablets (Waymade Healthcare Plc)"	"Amoxicillin trihydrate/Potassium clavulanate"	"500mg + 125mg"	"Tablet"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"September 2013"	47410020
17282	196111000001109	68745020	6493	"Almodan 125mg/5ml syrup (Teva UK Ltd)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	5300003
53682	132895001000027104	65527020	0	"Penicillin G 12mg/vial intrathecal injection"	"Sodium Citrate/Benzylpenicillin Sodium"	""	""	""	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2013"	4407001
42211	9803511000001108	71565020	222	"Phenoxymethylpenicillin 250mg tablets (Almus Pharmaceuticals Ltd)"	"Phenoxymethylpenicillin potassium"	"250mg"	"Tablet"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"May 2010"	6109009
25370	139811000001101	76828020	37	"Ranclav 375mg tablets (Ranbaxy (UK) Ltd)"	"Amoxicillin trihydrate/Potassium clavulanate"	"250mg + 125mg"	"Tablet"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	7659001
61860	21797311000001104	47869020	1	"Cefuroxime 50mg powder for solution for injection vials"	"Cefuroxime sodium"	"50mg"	"Powder for solution for injection"	"Intracameral"	11080251	"Ocular Peri-Operative Drugs"	"December 2014"	47869020
14386	874611000001105	73211020	25980	"Galenamox 125mg/5ml oral suspension (Galen Ltd)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	6592003
5341	169511000001107	80274020	33043	"Augmentin-Duo 400/57 oral suspension (GlaxoSmithKline UK Ltd)"	"Amoxicillin trihydrate/Potassium clavulanate"	"80mg/1ml + 11.4mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	8985001
8008	66825001000027112	56416020	7725	"Ceporex 250mg/5ml Oral solution (Galen Ltd)"	"Cefalexin"	"50mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"February 2009"	2112003
78153	5655001000027105	48701020	78	"Ampicillin 500mg Capsule (IVAX Pharmaceuticals UK Ltd)"	"Ampicillin"	"500mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"October 2019"	175010
993	40325001000027104	53077020	22893	"Erythroped forte 500mg/5ml Liquid (Abbott Laboratories Ltd)"	"Erythromycin ethyl succinate"	"100mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	1248001
60	39692111000001104	59408020	4051609	"Flucloxacillin 250mg capsules"	"Flucloxacillin sodium"	"250mg"	"Capsule"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"February 2009"	2883001
68408	32403711000001100	62303021	0	"Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Brown & Burk UK Ltd)"	"Amoxicillin trihydrate/Potassium clavulanate"	"80mg/1ml + 11.4mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"December 2016"	62303021
58206	11028411000001100	74059020	218	"Azithromycin 250mg tablets (Teva UK Ltd)"	"Azithromycin"	"250mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"December 2013"	6828009
46902	193845001000027104	74671020	1	"Penicillin VK 125mg/5ml Oral solution (Sandoz Ltd)"	"Phenoxymethylpenicillin potassium"	"25mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"March 2012"	7008009
85282	12019511000001104	30363020	1	"Ciprofloxacin 100mg/5ml oral suspension"	"Ciprofloxacin"	"20mg/1ml"	"Oral suspension"	"Oral"	5011200	"Quinolones"	"December 2021"	30363020
79359	4865001000027101	48602020	3	"Amoxicillin 250mg Capsule (Celltech Pharma Europe Ltd)"	"Amoxicillin trihydrate"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"December 2019"	155009
34496	86175001000027104	58867020	364	"Penicillin V 250mg Tablet (Generics (UK) Ltd)"	"Phenoxymethylpenicillin potassium"	"250mg"	"Tablet"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	2757009
30233	770211000001102	57873020	56	"Phenoxymethylpenicillin 250mg/5ml oral solution (Mylan)"	"Phenoxymethylpenicillin potassium"	"50mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	2463010
52177	14711611000001108	6108020	1	"Ciproxin 500mg tablets (Sigma Pharmaceuticals Plc)"	"Ciprofloxacin hydrochloride"	"500mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"January 2013"	6108020
53135	20562711000001104	41927020	0	"Vibramycin-D 100mg dispersible tablets (Waymade Healthcare Plc)"	"Doxycycline monohydrate"	"100mg"	"Dispersible tablet"	"Oral"		"Tetracyclines/Antimalarials/Oral Antibacterials For Acne"	"January 2013"	41927020
81327	421341000	92109021	253	"Doxycycline 100mg tablets"	"Doxycycline hyclate"	"100mg"	"Tablet"	"Oral"		"Tetracyclines/Antimalarials/Oral Antibacterials For Acne"	"July 2020"	92109021
579	39692211000001104	59409020	4753951	"Flucloxacillin 500mg capsules"	"Flucloxacillin sodium"	"500mg"	"Capsule"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"February 2009"	2883002
28130	3243811000001105	48674020	443	"Amoxicillin 3g oral powder sachets sugar free (Teva UK Ltd)"	"Amoxicillin trihydrate"	"3gram"	"Powder"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	169010
47993	244915001000027104	92245020	0	"Cefuroxime (as axetil) 500mg tablets"	"Cefuroxime Axetil"	"500mg"	"Tablets"	"Oral"	5010201	"Cephalosporins"	"November 2012"	14719001
34853	592611000001105	54611020	759	"Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Teva UK Ltd)"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	1646009
53467	18719411000001108	5530020	364	"Phenoxymethylpenicillin 250mg/5ml oral solution (Sigma Pharmaceuticals Plc)"	"Phenoxymethylpenicillin potassium"	"50mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"January 2013"	5530020
81639	838411000001100	56958020	1	"Erythromycin ethyl succinate 125mg/5ml oral suspension (Actavis UK Ltd)"	"Erythromycin ethyl succinate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"September 2020"	2240010
509	292511000001103	51673020	95364	"Augmentin 625mg tablets (GlaxoSmithKline UK Ltd)"	"Amoxicillin trihydrate/Potassium clavulanate"	"500mg + 125mg"	"Tablet"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	889001
18451	182795001000027104	72789020	178	"Cefalexin 1g tablets"	"Cefalexin"	"1g"	"Tablets"	"Oral"	5010201	"Cephalosporins"	"February 2009"	6466001
4925	323420002	80577020	201824	"Phenoxymethylpenicillin 250mg/5ml oral solution"	"Phenoxymethylpenicillin potassium"	"50mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	9137002
82130	14166911000001104	75848020	0	"Azithromycin 200mg/5ml oral suspension (Teva UK Ltd)"	"Azithromycin"	"40mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"November 2020"	7338009
15513	53065001000027104	54662020	3315	"Achromycin 250mg Tablet (Wyeth Pharmaceuticals)"	"Tetracycline hydrochloride"	"250mg"	"Tablet"	"Oral"		"Tetracyclines/Oral Antibacterials For Acne"	"February 2009"	1658001
34646	189311000001103	56449020	143	"Phenoxymethylpenicillin 250mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd)"	"Phenoxymethylpenicillin potassium"	"50mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	2119010
68110	32876211000001100	69789021	46	"Doxycycline 100mg/5ml oral suspension"	"Doxycycline hyclate"	"20mg/1ml"	"Oral suspension"	"Oral"		"Tetracyclines/Antimalarials/Oral Antibacterials For Acne"	"November 2016"	69789021
3678	39694611000001104	68011020	74717	"Cefuroxime 250mg tablets"	"Cefuroxime axetil"	"250mg"	"Tablet"	"Oral"	5010201	"Cephalosporins"	"February 2009"	5095002
23186	34365001000027100	52266020	183	"Vidopen 125mg/5ml Oral solution (Berk Pharmaceuticals Ltd)"	"Ampicillin"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	1031003
553	89775001000027104	59403020	310260	"Erythromycin 250mg.5ml oral suspension"	"Erythromycin Ethyl Succinate"	"250mg/5ml"	"Suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	2882002
53449	18056411000001108	5849020	2	"Erythrocin 500 tablets (Lexon (UK) Ltd)"	"Erythromycin stearate"	"500mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"January 2013"	5849020
2429	324232005	60842020	174295	"Erythromycin ethyl succinate 125mg/5ml oral suspension"	"Erythromycin ethyl succinate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	3215001
48207	247415001000027104	93226020	0	"Phenoxymethylpenicillin 333mg tablet"	"Phenoxymethylpenicillin Potassium"	"333mg"	"Tablets"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"December 2012"	15212001
17746	146245001000027104	67354020	621	"Amoxicillin 375mg soluble tablets"	"Amoxicillin Trihydrate"	"375mg"	"Soluble Tablet"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	4913001
34364	135511000001102	59400020	4	"Flucloxacillin 250mg capsules (Sandoz Ltd)"	"Flucloxacillin sodium"	"250mg"	"Capsule"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"February 2009"	2881009
32760	230935001000027104	85595020	2	"Ampitrin 125mg/5ml Liquid (OPD Pharm)"	"Ampicillin"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	11450003
65072	30010611000001104	53519021	0	"Cefalexin 250mg/5ml oral suspension (Mawdsley-Brooks & Company Ltd)"	"Cefalexin"	"50mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"December 2015"	53519021
85234	39879711000001104	98915021	0	"Amoxicillin 500mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)"	"Amoxicillin trihydrate"	"100mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"December 2021"	98915021
34779	231611000001103	59393020	3	"Erythromycin ethyl succinate 125mg/5ml oral suspension (Sandoz Ltd)"	"Erythromycin ethyl succinate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	2880009
5662	204855001000027104	77604020	14778	"Amoxicillin 500mg / Clarithromycin 500mg / Lansoprazole 30mg triple pack"	"Amoxicillin Trihydrate/Clarithromycin/Lansoprazole"	"500mg + 500mg + 30mg"	"Triple Pack"	""		"Proton Pump Inhibitors/Broad-Spectrum Penicillins"	"February 2009"	7926001
19330	14725001000027106	49906020	1608	"Ilosone 250mg/5ml Liquid (Dista Products Ltd)"	"Erythromycin Lactobionate"	"250mg/5ml"	"Liquid"	"Oral"		"Macrolides/Oral Antibacterials For Acne"	"February 2009"	458001
50601	18460011000001100	6128020	0	"Ciprofloxacin 250mg tablets (Accord Healthcare Ltd)"	"Ciprofloxacin hydrochloride"	"250mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"January 2013"	6128020
34819	4818111000001107	66423020	2	"Ofloxacin 400mg tablets (Mylan)"	"Ofloxacin"	"400mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"February 2009"	4655009
69398	161011000001103	5555020	1	"Respillin 250mg capsules (Kent Pharma (UK) Ltd)"	"Amoxicillin trihydrate"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"May 2017"	5555020
43229	192595001000027104	74514020	2	"Amoxicillin 125mg/5ml Oral suspension (Sandoz Ltd)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"August 2010"	6958009
80695	37897811000001104	90655021	0	"Doxycycline 50mg capsules (Dawa Ltd)"	"Doxycycline hyclate"	"50mg"	"Capsule"	"Oral"		"Tetracyclines/Antimalarials/Oral Antibacterials For Acne"	"May 2020"	90655021
78552	143355001000027104	66957020	4	"Tetracycline 250mg modified release capsules"	"Tetracycline Hydrochloride"	""	""	""		"Tetracyclines/Oral Antibacterials For Acne"	"November 2019"	4805001
27072	691711000001103	90925020	3495	"Keflex 125mg/5ml oral suspension (Flynn Pharma Ltd)"	"Cefalexin"	"25mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"February 2009"	14055001
64991	21286011000001108	45185020	0	"Levofloxacin 500mg tablets (Accord Healthcare Ltd)"	"Levofloxacin hemihydrate"	"500mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"December 2015"	45185020
9434	224315001000027104	83705020	39	"Erymin 250mg/5ml Oral suspension (Elan Pharma)"	"Erythromycin Ethyl Succinate"	"250mg/5ml"	"Oral Suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	10578001
34852	181511000001108	48645020	2	"Amoxicillin 500mg capsules (Ranbaxy (UK) Ltd)"	"Amoxicillin trihydrate"	"500mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	163010
33888	11034311000001100	91991020	248097	"Azithromycin 250mg tablets"	"Azithromycin"	"250mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"February 2009"	14591001
16167	89455001000027104	59341020	287	"Ampicillin 250mg/5ml sugar free suspension"	"Ampicillin Trihydrate"	"250mg/5ml"	"Suspension Sugar-Free"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	2870003
34330	850811000001102	60477020	29	"Flucloxacillin 250mg capsules (Mylan)"	"Flucloxacillin sodium"	"250mg"	"Capsule"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"February 2009"	3134009
34231	12595001000027106	49622020	988	"Erythromycin 125mg/5ml Liquid (Berk Pharmaceuticals Ltd)"	"Erythromycin ethyl succinate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	392009
1046	324059006	62868020	4398854	"Doxycycline 100mg capsules"	"Doxycycline hyclate"	"100mg"	"Capsule"	"Oral"		"Tetracyclines/Antimalarials/Oral Antibacterials For Acne"	"February 2009"	3694002
41736	763611000001104	62316020	35	"Cefalexin 250mg capsules (Kent Pharma (UK) Ltd)"	"Cefalexin"	"250mg"	"Capsule"	"Oral"	5010201	"Cephalosporins"	"March 2010"	3566010
20007	142545001000027104	66864020	1274	"Talampicillin 250mg tablets"	"Talampicillin Hydrochloride"	"250mg"	"Tablets"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	4781001
408	155115001000027104	68528020	216367	"Penicillin V 250mg/5ml oral solution"	"Phenoxymethylpenicillin Potassium"	"250mg/5ml"	"Elixir"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	5237002
56561	21766511000001108	47417020	2	"Amoxicillin 125mg/5ml oral suspension (Waymade Healthcare Plc)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"August 2013"	47417020
1384	97535001000027104	60622020	111490	"Cefalexin 125mg/5ml suspension"	"Cefalexin"	"125mg/5ml"	"Suspension"	"Oral"	5010201	"Cephalosporins"	"February 2009"	3164001
37485	12778811000001104	94075020	98	"Penbritin 125mg/5ml syrup (Chemidex Pharma Ltd)"	"Ampicillin"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	15643001
56884	17885411000001100	5587020	7	"Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd)"	"Potassium clavulanate/Amoxicillin trihydrate"	"6.25mg/1ml + 25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"August 2013"	5587020
19161	305811000001101	59172020	52	"Cefalexin 500mg capsules (Ranbaxy (UK) Ltd)"	"Cefalexin"	"500mg"	"Capsule"	"Oral"	5010201	"Cephalosporins"	"February 2009"	2828010
54864	606011000001105	5739020	0	"Cefalexin 250mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Cefalexin"	"250mg"	"Capsule"	"Oral"	5010201	"Cephalosporins"	"May 2013"	5739020
22010	75485001000027104	57654020	273	"Apsin vk 250mg/5ml Oral solution (Approved Prescription Services Ltd)"	"Phenoxymethylpenicillin potassium"	"50mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	2408002
1638	36565811000001104	73854020	289130	"Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free"	"Potassium clavulanate/Amoxicillin trihydrate"	"6.25mg/1ml + 25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	6774003
75243	30347811000001104	53996021	0	"Co-amoxiclav 1000mg/200mg powder for solution for injection vials (Peckforton Pharmaceuticals Ltd)"	"Amoxicillin sodium/Potassium clavulanate"	"1000mg + 200mg"	"Powder for solution for injection"	"Intravenous"	5010103	"Broad-Spectrum Penicillins"	"March 2019"	53996021
5859	66845001000027104	56419020	1829	"Ceporex 500mg/5ml Oral solution (Galen Ltd)"	"Cefalexin"	"100mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"February 2009"	2113001
2232	74555001000027104	57541020	3051	"Crystapen 600mg/vial Powder for solution for injection (Britannia Pharmaceuticals Ltd)"	"Benzylpenicillin sodium"	"600mg"	"Powder for solution for injection"	"Intravenous/Intramuscular"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	2383001
40796	36564611000001104	97281020	13706	"Doxycycline 40mg modified-release capsules"	"Doxycycline monohydrate"	"40mg"	"Modified-release capsule"	"Oral"		"Tetracyclines/Acne And Rosacea"	"November 2009"	17267001
34394	8914911000001107	69276020	83	"Clarithromycin 250mg tablets (Mylan)"	"Clarithromycin"	"250mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"February 2009"	5448009
66349	21825911000001104	47429020	0	"Cefalexin 500mg/5ml oral suspension (Waymade Healthcare Plc)"	"Cefalexin"	"100mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"June 2016"	47429020
54271	15122711000001104	5560020	0	"Amoxicillin 250mg capsules (Mawdsley-Brooks & Company Ltd)"	"Amoxicillin trihydrate"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"March 2013"	5560020
53986	19733011000001108	38553020	0	"Erythromycin 250mg gastro-resistant tablets (Medreich Plc)"	"Erythromycin"	"250mg"	"Gastro-resistant tablet"	"Oral"		"Macrolides/Oral Antibacterials For Acne"	"March 2013"	38553020
34244	99685001000027104	60957020	103	"Penicillin VK 125mg/5ml Oral solution (Lagap)"	"Phenoxymethylpenicillin potassium"	"25mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	3242010
53924	15065511000001104	5669020	0	"Amoxicillin 250mg/5ml oral suspension (Sigma Pharmaceuticals Plc)"	"Amoxicillin trihydrate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"March 2013"	5669020
25274	143335001000027104	66954020	3	"Tetracycline 500mg/vial IV injection"	"Tetracycline Hydrochloride"	"500mg/vial"	"IV Injection"	""		"Tetracyclines/Antimalarials"	"February 2009"	4804003
40884	904711000001102	97413020	1529	"Ceporex 250mg capsules (Strides Pharma UK Ltd)"	"Cefalexin"	"250mg"	"Capsule"	"Oral"	5010201	"Cephalosporins"	"December 2009"	17335001
8724	113455001000027104	62874020	265	"Doxycycline (as hyclate) 50mg/5ml oral solution"	"Doxycycline Hyclate"	"50mg/5ml"	"Syrup"	"Oral"		"Tetracyclines/Antimalarials"	"February 2009"	3695001
69893	22983111000001100	17535021	0	"Ciprofloxacin 400mg/200ml solution for infusion bottles (Kent Pharma (UK) Ltd)"	"Ciprofloxacin lactate"	"2mg/1ml"	"Solution for infusion"	"Intravenous"	5011200	"Quinolones"	"July 2017"	17535021
5116	324252006	69379020	273757	"Azithromycin 250mg capsules"	"Azithromycin dihydrate"	"250mg"	"Capsule"	"Oral"	5010500	"Macrolides"	"February 2009"	5476001
17509	323739006	67859020	340	"Amoxicillin 1g powder for solution for injection vials"	"Amoxicillin sodium"	"1gram"	"Powder for solution for injection"	"Intramuscular/Intravenous"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	5054001
34448	10442211000001104	63833020	19	"Ciprofloxacin 250mg tablets (Niche Generics Ltd)"	"Ciprofloxacin hydrochloride"	"250mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"February 2009"	3950009
81778	36575111000001104	85167021	0	"Ciprofloxacin 100mg tablets (Nexcape Pharmaceuticals Ltd)"	"Ciprofloxacin hydrochloride"	"100mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"September 2020"	85167021
55397	21935011000001104	47444020	1	"Erythromycin 250mg gastro-resistant capsules (Waymade Healthcare Plc)"	"Erythromycin"	"250mg"	"Gastro-resistant capsule"	"Oral"		"Macrolides/Oral Antibacterials For Acne"	"May 2013"	47444020
34336	3347511000001109	54198020	203	"Oxytetracycline 250mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Oxytetracycline dihydrate"	"250mg"	"Tablet"	"Oral"		"Tetracyclines/Oral Antibacterials For Acne"	"February 2009"	1537009
61207	549011000001104	5661020	0	"Amoxicillin 125mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"September 2014"	5661020
33707	339611000001109	63349020	47	"Ofloxacin 400mg tablets (Teva UK Ltd)"	"Ofloxacin"	"400mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"February 2009"	3813009
71674	34940611000001100	78955021	694	"Cetraxal 2mg/ml ear drops 0.25ml unit dose (Aspire Pharma Ltd)"	"Ciprofloxacin hydrochloride"	"2mg/1ml"	"Ear drops"	"Auricular"	12010200	"Drugs Acting On The Ear - Otitis Media"	"February 2018"	78955021
67839	13003911000001104	33448020	4	"Oxytetracycline 250mg/5ml oral suspension"	"Oxytetracycline dihydrate"	"50mg/1ml"	"Oral suspension"	"Oral"		"Tetracyclines/Oral Antibacterials For Acne"	"October 2016"	33448020
43557	11401511000001108	65399020	4	"Ciprofloxacin 500mg tablets (PLIVA Pharma Ltd)"	"Ciprofloxacin hydrochloride"	"500mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"September 2010"	4371009
41985	33725001000027104	52174020	1	"V-cil-k 62.5mg/5ml Oral solution (Eli Lilly and Company Ltd)"	"Phenoxymethylpenicillin Potassium"	"62.5mg/5ml"	"Oral Solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"April 2010"	1013001
30783	91211000001101	59996020	273	"Co-amoxiclav 250mg/125mg tablets (Ranbaxy (UK) Ltd)"	"Amoxicillin trihydrate/Potassium clavulanate"	"250mg + 125mg"	"Tablet"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	3024009
30099	182365001000027104	72714020	5	"Benzylpenicillin sodium with procaine benzylpenicillin injection"	"Benzylpenicillin Sodium/Procaine Benzylpenicillin"	""	"Injection"	""	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	6443001
64049	27871711000001100	31357021	0	"Benzylpenicillin 600mg powder for solution for injection vials (A A H Pharmaceuticals Ltd)"	"Benzylpenicillin sodium"	"600mg"	"Powder for solution for injection"	"Intravenous/Intramuscular"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"August 2015"	31357021
73335	19178611000001100	78226020	0	"Levofloxacin 250mg tablets (Teva UK Ltd)"	"Levofloxacin hemihydrate"	"250mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"October 2018"	8142009
80965	26195001000027100	51282020	1	"Erythromycin 500mg Tablet (Berk Pharmaceuticals Ltd)"	"Erythromycin"	"500mg"	"Tablet"	""		"Macrolides/Oral Antibacterials For Acne"	"June 2020"	789009
49301	17627611000001108	5851020	156	"Erythrolar 500mg tablets (Ennogen Pharma Ltd)"	"Erythromycin stearate"	"500mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"January 2013"	5851020
2256	7405001000027103	48929020	54464	"Deteclo 300mg Tablet (Wyeth Pharmaceuticals)"	"Chlortetracycline Hydrochloride/Tetracycline Hydrochloride/Demeclocycline Hydrochloride"	"300mg"	"Tablet"	"Oral"		"Tetracyclines/Oral Antibacterials For Acne"	"February 2009"	232001
68521	10456111000001106	68943020	2	"Cefalexin 125mg/5ml oral suspension (Arrow Generics Ltd)"	"Cefalexin"	"25mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"January 2017"	5355009
31514	10060911000001108	55309020	19	"Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Abbott Laboratories Ltd)"	"Erythromycin ethyl succinate"	"100mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	1833009
57462	20137211000001104	39852020	1	"Flucloxacillin 250mg/5ml oral solution (Crescent Pharma Ltd)"	"Flucloxacillin sodium"	"50mg/1ml"	"Oral solution"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"October 2013"	39852020
64615	21975611000001100	47441020	0	"Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Waymade Healthcare Plc)"	"Erythromycin ethyl succinate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"October 2015"	47441020
105	10415001000027108	49307020	120666	"Erythroped 250mg/5ml Liquid (Abbott Laboratories Ltd)"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	319001
26059	9742411000001104	89863020	159	"Clarithromycin 187.5mg granules straws"	"Clarithromycin"	"187.5mg"	"Granules"	"Oral"	0	"Unknown"	"February 2009"	13522001
970	113405001000027104	62869020	26325	"Doxycycline (as hyclate) 100mg tablets"	"Doxycycline Hyclate"	"100mg"	"Tablets"	"Oral"		"Tetracyclines/Antimalarials"	"February 2009"	3694003
